MAG	Taxonomy	Domain	KigC100	KigC1200	KigC150	KigC250	KigC300	KigCa35	KigCa65	KigCas0	KigOff0	KigOff120	KigOff40	KigOff80	KigOffSurface	MahC100	MahC200	MahC400	MahCa10	MahCa50	MahCa65	Mahsurface_10	Mahsurface_6	Mahsurface_7	Mahsurface_8	Mahsurface_9
M_DeepCast_50m_m2_117	Actinobacteria Iluma-A1	Bacteria	61.13958911	49.28091287	43.69123366	33.17220792	42.57918416	24.21229901	130.1528624	25.76712673	15.21886634	225.4389545	29.08503762	315.8197673	21.74692178	63.4431495	36.58527723	57.92124059	27.14411188	212.1732347	177.3689525	23.76578416	21.77735347	18.97756337	30.53347624	31.68316436
M_DeepCast_65m_m2_224	Acidobacteria	Bacteria	21.76243387	41.41113306	26.05843145	16.61847742	25.98873226	4.10406371	137.1780645	3.370317742	0.82365	162.885721	2.643258871	213.6171548	1.454378226	30.39146935	23.21911452	28.06549516	5.706247581	155.5675677	109.7486	1.10103871	1.353940323	0.631525806	1.795123387	2.270537097
K_Offshore_120m_m1_195	Actinobacteria acIV	Bacteria	729.8405073	598.6467785	602.191352	750.7018348	506.9339773	1276.43789	541.3834383	1478.751802	1143.683201	302.2700364	1496.085891	531.0326515	1265.053561	1126.911393	460.1662189	1057.117289	1287.587679	674.9269645	482.597491	1865.882675	1356.643101	1596.265081	2346.220999	1930.689372
K_DeepCast_0m_m1_227	Actinobacteria acIV-C	Bacteria	129.5575884	157.0556302	132.3106651	175.5428256	111.4439581	251.3916047	102.014693	315.4948535	145.3509581	26.08833488	215.5959698	82.55864884	216.1642488	165.6504395	76.30916977	166.7069256	210.973886	88.94235116	69.46158372	282.3066163	184.188214	236.2643047	368.1054326	267.0156953
M_DeepCast_100m_m2_158	Planctomycetes	Bacteria	19.20964015	10.83626586	11.08866575	12.32176891	8.26609568	42.55041222	8.81592529	35.19586101	11.10924847	4.390916228	22.73651465	7.004652792	20.5465451	36.46229452	22.98494552	26.12404636	29.23635047	10.97657071	8.332183772	57.70668325	113.3876214	52.12303952	49.6657883	51.07212266
K_Offshore_40m_m2_124	Actinobacteria acIV	Bacteria	8.548944068	9.919822034	8.753322034	12.30466102	7.760025424	17.65117119	6.925283051	21.82822712	20.44944746	6.25509322	34.82209661	16.06354068	24.03125254	18.77447797	8.899461017	19.02851356	22.64640169	9.475938983	7.552537288	27.90701186	17.14894746	24.14666949	34.06463559	32.73910847
K_DeepCast_65m_m1_223	Acidobacteria	Bacteria	10.56512182	11.65010909	10.40468545	7.733823636	8.869252727	6.838854545	29.60542727	7.694789091	4.005736364	63.09746727	7.381003636	74.70834	4.764132727	11.47220182	7.56894	10.37289273	5.590667273	45.32704364	28.17094	3.498874545	2.452109091	2.5629	4.706454545	3.965569091
K_Offshore_80m_m2_082	Acidobacteria	Bacteria	2.781628349	3.882908192	3.161885826	2.885906892	2.816244863	4.853211443	3.37093173	6.191578544	1.409315605	3.274569311	2.378761769	9.331414174	1.332156567	2.398684265	1.608207282	2.257879584	2.293147334	2.191560208	1.916785696	1.287489727	0.586761508	0.962256827	2.054385566	0.846027048
K_DeepCast_65m_m1_022	Acidobacteria	Bacteria	8.248662651	7.950009036	5.968153012	4.071748795	5.084408434	2.311955422	20.91001627	2.269708434	1.325636747	31.38301446	1.614091566	29.28741867	1.534014458	7.598491566	6.152716265	6.967688554	3.953351807	20.15118072	17.94134277	1.179387952	0.765190964	0.906071084	2.107564458	1.441418072
K_Offshore_80m_m2_035	Acidobacteria	Bacteria	2.935660284	2.896586525	1.963817021	1.450156738	2.164131915	0.621849645	6.091095745	0.472539007	0.205877305	14.7464844	0.389959574	15.2688539	0.259260993	2.950967376	2.196834043	2.795014184	0.810142553	9.416496454	7.799633333	0.172142553	0.178461702	0.133651064	0.342439007	0.332624823
K_Offshore_80m_m2_092	Acidobacteria	Bacteria	2.930632154	5.556621865	3.635893408	2.557241479	3.918148553	0.592621704	11.3589701	0.406872186	0.1705791	23.80151302	0.434507556	56.04997894	0.186915595	2.629779904	2.464901447	2.509555627	0.812716881	12.28085289	2.940319775	0.244840514	0.158361415	0.160455466	0.313916077	0.232052733
K_Offshore_120m_m2_155	Acidobacteria	Bacteria	0.987525891	1.352244788	0.974707801	0.720263013	0.971513046	0.288331675	4.777067787	0.242660794	0.874945259	9.627831876	0.605600403	8.676248621	0.606366846	1.178045326	1.217336853	1.145159449	0.211347814	6.37312152	2.366861466	0.080259516	0.033369469	0.073923672	0.077550101	0.039143309
K_Offshore_80m_m2_117	Acidobacteria	Bacteria	0.882307059	1.290538824	0.990722353	0.771254118	1.227409412	0.376794118	3.420091765	0.177949412	0.03664	11.86398235	0.169632941	27.08137412	0.039838824	0.947737647	0.923494118	1.073992941	0.391214118	2.946683529	1.480730588	0.075149412	0.046907059	0.068630588	0.104707059	0.061012941
K_Offshore_80m_m2_152	Acidobacteria	Bacteria	0.904629834	1.358742541	0.997254144	0.668174033	1.096297238	0.19300884	3.231411602	0.105569613	0.045686188	8.800551381	0.140520442	19.45083536	0.060113812	0.833341989	0.806665746	0.913320442	0.187409392	3.596662431	1.947798895	0.049601105	0.062876243	0.044571271	0.087190055	0.053469613
K_Offshore_120m_m2_006	Acidobacteria	Bacteria	3.277512542	4.033610169	2.649476949	1.545388475	2.483115593	0.11562339	13.58269322	0.084108136	0.043373559	15.49483254	0.082802373	11.83383356	0.048811186	2.252681356	2.031196271	2.304324746	0.183974576	11.96202915	10.89643695	0.051967458	0.050354915	0.121019661	0.052580339	0.027698305
K_DeepCast_150m_m1_111	Acidobacteria	Bacteria	10.00489001	5.034917724	9.55236629	6.212334057	6.305678106	0.082880799	1.444708688	0.082870026	0.057774196	1.804231017	0.074616507	1.713270721	0.066476368	2.865035013	9.833093223	6.171002259	0.088739096	1.299544049	3.589502954	0.050508949	0.041547611	0.070701303	0.056751607	0.05293901
K_Offshore_80m_m2_020	Acidobacteria	Bacteria	0.899904527	1.548918107	0.996804938	0.6465893	1.044256379	0.114361317	4.164140329	0.068931276	0.02296214	7.585342798	0.076139918	13.90945926	0.025377366	0.730493004	0.66903251	0.883146091	0.117653909	3.893622222	2.551555556	0.026379424	0.035106173	0.054695885	0.03845144	0.023709465
K_Offshore_120m_m2_108	Acidobacteria	Bacteria	2.998737585	4.049560483	2.503942995	1.382012271	2.262921932	0.059950435	16.56774135	0.043884251	0.036692947	11.32249855	0.056514686	6.975428213	0.034064638	2.112395169	1.850142705	1.933187536	0.134403961	11.57218425	8.674942899	0.027403382	0.034471014	0.071498841	0.032502705	0.017738261
K_DeepCast_35m_m1_297	Actinobacteria	Bacteria	5.390244848	5.784413939	5.237822424	6.100617576	4.457921818	11.61568485	4.030137576	11.95184242	4.969690909	1.450348485	7.980645455	3.553516364	6.074687273	6.633190909	3.696158182	7.084589091	8.15584	3.824093333	3.026492727	5.656401212	2.602672727	4.625483636	8.780513333	5.78551697
K_Offshore_40m_m2_105	Actinobacteria acIV-C	Bacteria	4.121799138	3.309777586	3.84062069	4.903155172	2.656003448	6.959374138	2.874462931	9.453351724	12.32010086	0.362156897	14.01651034	0.759887931	12.19201121	5.263342241	2.748394828	6.220148276	7.186735345	3.023823276	2.366406897	9.353787069	5.443372414	7.429368103	13.25719569	8.463163793
K_Offshore_80m_m1_195	Actinobacteria acIV	Bacteria	10.1034146	8.51279781	10.05176423	8.098861314	7.966594161	10.24281314	15.67096788	8.452221898	4.301593431	18.2835365	7.709745255	33.40240949	10.61002847	9.042543066	11.14613796	12.14337591	6.824249635	17.34468832	14.02500073	2.951435766	0.727753285	1.902038686	4.444723358	1.832472993
K_Offshore_80m_m2_056	Actinobacteria	Bacteria	2.661334805	3.641363377	3.256255065	1.92301974	2.778471169	0.848011429	6.59575013	0.532160779	0.186837662	11.8070226	0.452743117	14.74097273	0.348995584	2.461564416	2.222449351	3.364831429	0.876419481	11.8561774	9.380976104	0.239108312	0.213058442	0.488181299	0.462998961	0.286116104
K_Offshore_80m_m2_094	Actinobacteria	Bacteria	1.180404469	2.608596788	1.653248045	1.038797765	1.755110615	0.220517877	5.236260615	0.198231145	0.125850279	7.98922095	0.204141899	10.97632612	0.136496089	1.225217179	0.894043436	1.578856425	0.261233799	7.315719693	3.597052235	0.109874162	0.076766201	0.15789986	0.13700433	0.091844832
K_DeepCast_65m_m2_097	Actinobacteria	Bacteria	7.478106186	4.243434021	5.487663918	2.277101031	3.444046392	0.164382474	17.81874639	0.076919588	0.064020619	13.30468866	0.116802062	9.241361856	0.084439175	2.557001031	4.546252577	2.545229897	0.188008247	9.234083505	12.45114021	0.076701031	0.088272165	0.144725773	0.11551134	0.086004124
K_DeepCast_100m_m2_187	Deltaproteobacteria	Bacteria	8.246546047	1.757561165	3.504018863	1.445970042	2.125342441	0.028251179	0.182205687	0.022706519	0.011625659	0.220019417	0.017995839	0.13725104	0.021948405	1.433731761	2.488739112	1.1457957	0.023049931	0.142634674	2.781416505	0.025318863	0.028834813	0.067505548	0.029700832	0.024762275
K_DeepCast_100m_m2_081	Actinobacteria	Bacteria	15.5612182	34.55437317	19.64897955	28.5980182	36.32526098	0.015630394	0.031280675	0.01153152	0.000253659	0.014731332	0.001743152	0.011237148	0.00108349	4.267453283	35.48324484	36.53935947	0.022149906	0.017617448	0.886321201	0.00680863	0.002806942	0.004116698	0.00926848	0.006006191
M_DeepCast_400m_m2_130	Actinobacteria	Bacteria	4.443511491	24.74867919	9.346302795	17.56528634	28.87064472	0.012236025	0.045508385	0.007770807	0.008197516	0.044765528	0.006851863	0.038070186	0.009575776	1.41773323	16.60979006	36.23046832	0.010098137	0.031572671	0.786630435	0.024257453	0.03038913	0.070754969	0.021047205	0.02690559
K_DeepCast_1200m_m2_005	Actinobacteria	Bacteria	7.179728521	12.30818838	8.65544243	9.92689243	12.34373592	0.001930106	0.020072711	0.000404577	0.00066831	0.009853345	0.000763732	0.000122711	0.000595599	2.153300352	12.88120827	12.33556056	0.001046303	0.002138908	0.490301761	0.000527113	0.00061831	0.000183627	0.000254401	0.000730458
K_DeepCast_100m_m1_216	Actinobacteria	Bacteria	7.557900543	1.825808152	4.238086413	1.676394022	2.018407609	0	0.082096739	0	0	0.028726087	0	0.009705435	0.00236087	2.233352717	2.65853913	1.505722283	0	0.044997826	0.771534239	0.008497283	0.006391848	0.009697283	0.002241848	0.004802717
K_DeepCast_100m_m1_278	Actinobacteria	Bacteria	17.99409806	13.59274584	15.40654127	13.13260028	15.84303296	0.002592521	0.068861496	0	0.000248061	0.043417175	0.000140166	0.001125762	9.25E-05	4.910280055	18.07971787	14.79920706	0.000230055	0.005029363	2.486274515	0.000869668	0.000960942	0.000646953	0.000120222	0.000272992
K_DeepCast_150m_m1_051	Actinobacteria	Bacteria	8.360528516	6.119343545	8.478645857	5.743009249	6.810602312	0.001581696	0.026609056	0	0.000291522	0.007717726	6.26E-05	0	0	2.331752794	7.877163006	5.565225241	0	0.001334297	0.747985742	0.001135067	0.00018632	0.001327938	0	0.001031599
