MAG	Taxonomy	Domain	KigCas0	KigCa35	KigOff0	KigOff40	KigOffSurface	MahCa10	Mahsurface_10	Mahsurface_6	Mahsurface_7	Mahsurface_8	Mahsurface_9	MahCa50	MahCa65	KigCa65	KigOff80	KigC100	MahC100	KigC150	KigC250	KigC300	KigC1200	KigOff120	MahC200	MahC400	Epi	Oxy	Hypo	Completeness	Nb of Scaffolds
M_surface_10_m1_251	Acidobacteria	Bacteria	3.62	2.69	2.6	3.88	2.48	2.86	2.74	1.3	1.81	2.87	2.17	1.3	1.81	2.87	2.17	1.17	1.01	2.55	2.32	1.62	2.68	0.13	1.83	2.74	29.04	10.33	13.86	95.67	51
K_DeepCast_65m_m1_223	Acidobacteria	Bacteria	0.63	0.56	0.33	0.61	0.39	0.46	0.29	0.2	0.21	0.39	0.33	0.2	0.21	0.39	0.33	3.73	2.32	1.64	1.22	1.4	1.84	9.96	1.2	1.64	4.4	7.18	18.9	97.44	55
M_DeepCast_65m_m2_224	Acidobacteria	Bacteria	0.28	0.34	0.07	0.22	0.12	0.47	0.09	0.11	0.05	0.15	0.19	0.11	0.05	0.15	0.19	12.81	9.04	4.11	2.62	4.1	6.54	25.72	3.67	4.43	2.08	22.34	51.2	94.87	124
K_Offshore_80m_m2_082	Acidobacteria	Bacteria	0.51	0.4	0.12	0.2	0.11	0.19	0.11	0.05	0.08	0.17	0.07	0.05	0.08	0.17	0.07	0.18	0.16	0.5	0.46	0.44	0.61	0.52	0.25	0.36	1.99	0.7	3.14	40.6	769
K_DeepCast_65m_m1_022	Acidobacteria	Bacteria	0.19	0.19	0.11	0.13	0.13	0.33	0.1	0.06	0.07	0.17	0.12	0.06	0.07	0.17	0.12	1.66	1.48	0.94	0.64	0.8	1.26	4.96	0.97	1.1	1.6	3.57	10.67	99.12	166
K_Offshore_80m_m2_035	Acidobacteria	Bacteria	0.04	0.05	0.02	0.03	0.02	0.07	0.01	0.01	0.01	0.03	0.03	0.01	0.01	0.03	0.03	0.78	0.64	0.31	0.23	0.34	0.46	2.33	0.35	0.44	0.32	1.5	4.45	77.46	141
K_Offshore_80m_m2_092	Acidobacteria	Bacteria	0.03	0.05	0.01	0.04	0.02	0.07	0.02	0.01	0.01	0.03	0.02	0.01	0.01	0.03	0.02	1.01	0.24	0.57	0.4	0.62	0.88	3.76	0.39	0.4	0.31	1.32	7.02	95.44	622
K_Offshore_120m_m2_155	Acidobacteria	Bacteria	0.02	0.02	0.07	0.05	0.05	0.02	0.01	0	0.01	0.01	0	0	0.01	0.01	0	0.52	0.19	0.15	0.11	0.15	0.21	1.52	0.19	0.18	0.26	0.74	2.53	75.39	1487
K_Offshore_80m_m2_117	Acidobacteria	Bacteria	0.01	0.03	0	0.01	0	0.03	0.01	0	0.01	0.01	0.01	0	0.01	0.01	0.01	0.24	0.12	0.16	0.12	0.19	0.2	1.87	0.15	0.17	0.13	0.39	2.86	95.44	85
K_Offshore_80m_m2_152	Acidobacteria	Bacteria	0.01	0.02	0	0.01	0	0.02	0	0.01	0	0.01	0	0.01	0	0.01	0	0.3	0.16	0.16	0.11	0.17	0.21	1.39	0.13	0.14	0.08	0.48	2.31	97.15	181
K_Offshore_120m_m2_006	Acidobacteria	Bacteria	0.01	0.01	0	0.01	0	0.02	0	0	0.01	0	0	0	0.01	0	0	0.98	0.9	0.42	0.24	0.39	0.64	2.45	0.32	0.36	0.07	1.9	4.82	90.51	295
K_DeepCast_150m_m1_111	Acidobacteria	Bacteria	0.01	0.01	0	0.01	0.01	0.01	0	0	0.01	0	0	0	0.01	0	0	0.11	0.3	1.51	0.98	1	0.8	0.28	1.55	0.97	0.06	0.42	7.09	33.75	1151
K_Offshore_80m_m2_020	Acidobacteria	Bacteria	0.01	0.01	0	0.01	0	0.01	0	0	0	0	0	0	0	0	0	0.32	0.21	0.16	0.1	0.16	0.24	1.2	0.11	0.14	0.05	0.54	2.11	95.44	243
K_Offshore_120m_m2_108	Acidobacteria	Bacteria	0	0	0	0	0	0.01	0	0	0.01	0	0	0	0.01	0	0	0.95	0.71	0.4	0.22	0.36	0.64	1.79	0.29	0.31	0.05	1.68	4	77.95	1035
K_Offshore_80m_m1_031	Actinobacteria	Bacteria	62.76	50.57	43.75	59.23	49.8	49.82	73.78	53.25	63.46	99.73	77.16	53.25	63.46	99.73	77.16	28.31	20.17	45.73	55.96	36.02	42.78	25.79	32.05	74.54	683.3	342.08	312.88	76.88	190
M_surface_8_mx_219	Actinobacteria	Bacteria	10.53	9.56	6.33	10.51	9.14	6.69	11.21	10.64	9.98	11.02	10.69	10.64	9.98	11.02	10.69	2.82	1.86	6.3	7.29	4.92	6.37	2.09	5.33	8.85	106.31	47.01	41.15	64.78	1531
K_Offshore_40m_m2_012	Actinobacteria	Bacteria	3.54	2.72	1.97	3.64	3.23	2.76	3.87	1.28	2.54	4.73	2.63	1.28	2.54	4.73	2.63	1.29	0.95	2.46	2.91	2.31	2.85	0.86	1.78	4.82	32.91	13.42	17.99	93.97	52
K_Offshore_surface_m2_014	Actinobacteria	Bacteria	1.51	1.19	1.23	1.64	2.83	0.92	1.6	0.25	0.8	1.44	0.76	0.25	0.8	1.44	0.76	0.73	0.56	1.22	1.16	0.93	1.3	0.71	0.81	1.57	14.18	4.53	7.7	97.41	16
K_DeepCast_35m_m1_047	Actinobacteria	Bacteria	1.46	1.08	0.39	0.66	0.61	0.75	1.03	0.77	0.97	1.39	0.97	0.77	0.97	1.39	0.97	0.29	0.19	0.86	1.23	0.6	0.77	0.07	0.52	1.18	10.09	4.58	5.23	86	46
K_DeepCast_35m_m1_297	Actinobacteria	Bacteria	0.98	0.96	0.41	0.66	0.5	0.67	0.47	0.21	0.38	0.72	0.48	0.21	0.38	0.72	0.48	0.31	0.25	0.83	0.96	0.7	0.91	0.23	0.58	1.12	6.44	2.36	5.34	96.58	165
K_Offshore_40m_m2_139	Actinobacteria	Bacteria	0.58	0.51	0.34	0.76	0.57	0.35	0.53	0.52	0.5	0.69	0.53	0.52	0.5	0.69	0.53	0.16	0.09	0.37	0.45	0.29	0.42	0.21	0.22	0.43	5.9	2.49	2.39	58.76	271
M_DeepCast_400m_m1_127	Actinobacteria	Bacteria	0.09	0.05	0.05	0.07	0.1	0.05	0.07	0.02	0.04	0.09	0.04	0.02	0.04	0.09	0.04	0.05	0.04	0.06	0.05	0.05	0.06	0.06	0.08	0.13	0.65	0.28	0.49	60.11	373
K_Offshore_80m_m2_056	Actinobacteria	Bacteria	0.04	0.07	0.02	0.04	0.03	0.07	0.02	0.02	0.04	0.04	0.02	0.02	0.04	0.04	0.02	0.98	0.77	0.51	0.3	0.44	0.57	1.86	0.35	0.53	0.41	1.87	4.58	95.73	385
M_DeepCast_65m_m2_256	Actinobacteria	Bacteria	0.02	0.02	0.02	0.02	0.02	0.02	0.01	0.01	0.01	0.02	0.01	0.01	0.01	0.02	0.01	0.75	0.75	0.4	0.19	0.28	0.37	1.02	0.21	0.29	0.18	1.54	2.77	77.39	401
M_DeepCast_50m_m2_189	Actinobacteria	Bacteria	0.01	0.02	0.01	0.02	0.01	0.04	0.01	0.01	0.01	0.02	0.02	0.01	0.01	0.02	0.02	2.34	1.43	0.88	0.51	0.65	1.25	3.23	0.74	0.83	0.17	3.83	8.09	97.44	31
K_Offshore_80m_m2_094	Actinobacteria	Bacteria	0.02	0.02	0.01	0.02	0.01	0.02	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.6	0.3	0.26	0.16	0.28	0.41	1.26	0.14	0.25	0.14	0.94	2.77	84.24	716
K_DeepCast_65m_m2_097	Actinobacteria	Bacteria	0.01	0.01	0.01	0.01	0.01	0.02	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.76	1.03	0.87	0.36	0.54	0.67	2.1	0.72	0.4	0.1	1.82	5.66	98.29	97
K_DeepCast_65m_m2_213	Actinobacteria	Bacteria	0	0.01	0	0.01	0.01	0.01	0	0	0.01	0	0	0	0.01	0	0	1.03	0.77	0.75	0.37	0.56	0.73	2.5	0.75	0.37	0.08	1.82	6.03	93.97	247
K_DeepCast_150m_m1_088	Actinobacteria	Bacteria	0	0.01	0.01	0.02	0.01	0	0	0.01	0	0.01	0	0.01	0	0.01	0	0.05	0.06	1.11	1.07	1.27	1.09	0.15	1.37	1.23	0.07	0.13	7.29	85.64	805
K_DeepCast_300m_m1_095	Actinobacteria	Bacteria	0.01	0.01	0	0	0	0	0.01	0.02	0.01	0.01	0.01	0.02	0.01	0.01	0.01	0	0.01	0.29	0.6	1.25	0.61	0	0.69	0.93	0.07	0.05	4.37	26.9	425
K_DeepCast_65m_m2_193	Actinobacteria	Bacteria	0.01	0.01	0	0.01	0	0.01	0	0	0	0	0	0	0	0	0	0.81	0.37	0.25	0.17	0.24	0.46	0.87	0.19	0.23	0.05	1.2	2.42	81.16	756
M_DeepCast_200m_m1_155	Actinobacteria	Bacteria	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0.03	0.5	0.49	0.59	0.5	0	0.68	0.56	0.02	0.04	3.31	94.83	1417
M_DeepCast_400m_m2_130	Actinobacteria	Bacteria	0	0	0	0	0	0	0	0	0.01	0	0	0	0.01	0	0	0	0.06	1.48	2.77	4.56	3.91	0.01	2.62	5.72	0.02	0.08	21.07	93.16	322
