Taxonomy	Simplified Taxonomy
Cyanobacteria	Cyanobacteria
Chloroflexi	Chloroflexi
Thaumarchaeota	Thaumarchaeota
Bacteroidetes	Bacteroidetes
Actinobacteria acIV	Actinobacteria acI
Betaproteobacteria	Betaproteobacteria
Deltaproteobacteria	Deltaproteobacteria
Gammaproteobacteria	Gammaproteobacteria
Alphaproteobacteria LD12	Alphaproteobacteria LD12
Phycisphaerae	Planctomycetes
Ignavibacteria	Ignavibacteria
Actinobacteria	Actinobacteria (non ac or Iluma)
Planctomycetes	Planctomycetes
Alphaproteobacteria non LD12	Alphaproteobacteria (non LD12)
Actinobacteria acI-B1	Actinobacteria acI
Actinobacteria acIV-C	Actinobacteria acI
Actinobacteria Iluma-A1	Actinobacteria Iluma
Actinobacteria acI-C2	Actinobacteria acI
Nitrospirae	Nitrospirae
Verrucomicrobia V3	Verrucomicrobia
Chlorobi	Chlorobi
Verrucomicrobia V6	Verrucomicrobia
Acidobacteria	Acidobacteria
CP Eisenbacteria	CP Eisenbacteria
Fibrobacteres acidobacteria	Fibrobacteres acidobacteria
Armatimonadetes	Armatimonadetes
Verrucomicrobia V4	Verrucomicrobia
Lentisphaerae	Lentisphaerae
Gemmatimonadetes	Gemmatimonadetes
WOR-2 Omnitrophica	WOR-2 Omnitrophica
Euryarchaeota	Euryarchaeota
Pacearchaeota	Pacearchaeota
Actinobacteria acI-C	Actinobacteria acI
CP Aminicemantes (OP8)	CP Aminicemantes (OP8)
Poribacteria	Poribacteria
WOR-3	WOR-3
Chlamydiae	Chlamydiae
CP Shapirobacteria	CP Shapirobacteria
CP WWE1	CP WWE1
Firmicutes	Firmicutes
CP Rokubacteria	CP Rokubacteria
Calditrichaeota	Calditrichaeota
CP Nealsonbacteria	CP Nealsonbacteria
Actinobacteria acSTL	Actinobacteria (non ac or Iluma)
Woesearchaeota	Woesearchaeota
Verstraetaerchaeota	Verstraetaerchaeota
Actinobacteria acTH1	Actinobacteria (non ac or Iluma)
Micrarchaeota	Micrarchaeota
CP Tectomicrobia	CP Tectomicrobia
CP Gottesmanbacteria	CP Gottesmanbacteria
Bathyarchaeota	Bathyarchaeota
CP Harrisonbacteria	CP Harrisonbacteria
CP TM6	CP TM6
CP Ziwabacteria	CP Ziwabacteria
CP Handelsmanbacteria	CP Handelsmanbacteria
CP Kaiserbacteria	CP Kaiserbacteria
CP WWE3	CP WWE3
Deinococcus thermus	Deinococcus thermus
Aenigmarchaeota	Aenigmarchaeota
CP Saccharibacteria	CP Saccharibacteria
CP Peribacteria	CP Peribacteria
CP Liptonbacteria	CP Liptonbacteria
CP Tanganyikabacteria	CP Tanganyikabacteria
CP Staskawiczbacteria	CP Staskawiczbacteria
CP Fraserbacteria	CP Fraserbacteria
Altiarchaeota	Altiarchaeota
Unclassified	Unclassified
CP Roizmanbacteria	CP Roizmanbacteria
CP Gribaldobacteria	CP Gribaldobacteria
Diapherotrites	Diapherotrites
Actinobacteria acIII	Actinobacteria acI
CP Parcubacteria	CP Parcubacteria
Verrucomicrobia V2	Verrucomicrobia
CP Urhbacteria	CP Urhbacteria
CP Moranbacteria	CP Moranbacteria
CP BRC1	CP BRC1
CP Perigrinibacteria	CP Perigrinibacteria
Verrucomicrobia V1	Verrucomicrobia
Parvarchaeota	Parvarchaeota
CP Zixibacteria	CP Zixibacteria
Kirimatiellacea	Kirimatiellacea
CP Hydrogenedentes	CP Hydrogenedentes
