IMG ID,Latitude,Longitude,Ecosystem,Ecosystem Category,Ecosystem Subtype,Ecosystem Type,MAG
3300020221,-4.9054,29.4853,Environmental,Aquatic,Lake,Freshwater,K_Offshore_40_m2_103
3300020179,-4.8915,29.586,Environmental,Aquatic,Lake,Freshwater,K_Offshore_40_m2_103
3300021093,-5.5789,29.514,Environmental,Aquatic,Lake,Freshwater,K_Offshore_40_m2_103
3300020109,-6.1786,29.658,Environmental,Aquatic,Lake,Freshwater,K_Offshore_40_m2_103
3300021091,-4.8915,29.586,Environmental,Aquatic,Lake,Freshwater,K_Offshore_40_m2_103
3300020190,-6.0012,29.8102,Environmental,Aquatic,Lake,Freshwater,K_Offshore_40_m2_103
3300020200,-6.1786,29.658,Environmental,Aquatic,Lake,Freshwater,K_Offshore_40_m2_103
3300020196,-4.9054,29.4853,Environmental,Aquatic,Lake,Freshwater,K_Offshore_40_m2_103
3300020578,-4.9054,29.4853,Environmental,Aquatic,Lake,Freshwater,K_Offshore_40_m2_103
3300020083,-4.9054,29.4853,Environmental,Aquatic,Lake,Freshwater,K_Offshore_40_m2_103
3300021376,-4.8369,29.6087,Environmental,Aquatic,Lake,Freshwater,K_Offshore_40_m2_103
3300020220,-6.1786,29.658,Environmental,Aquatic,Lake,Freshwater,K_Offshore_40_m2_103
3300020222,-4.9054,29.4853,Environmental,Aquatic,Lake,Freshwater,K_Offshore_40_m2_103
3300020603,-4.9054,29.4853,Environmental,Aquatic,Lake,Freshwater,K_Offshore_40_m2_103
3300020084,-4.9054,29.4853,Environmental,Aquatic,Lake,Freshwater,K_Offshore_40_m2_103
3300021092,-6.1786,29.658,Environmental,Aquatic,Lake,Freshwater,K_Offshore_40_m2_103
3300021424,-5.7366,29.9194,Environmental,Aquatic,Lake,Freshwater,K_Offshore_40_m2_103
3300013087,-13.5167,34.7703,Environmental,Aquatic,Lake,Freshwater,K_Offshore_40_m2_103
3300017788,-1.78,29.2,Environmental,Aquatic,Lake,Freshwater,K_Offshore_40_m2_103
3300022752,34.2611,-83.95,Environmental,Aquatic,Lake,Freshwater,K_Offshore_40_m2_103
3300020197,-4.9054,29.4853,Environmental,Aquatic,Lake,Freshwater,K_Offshore_40_m2_103
3300010354,39.2637,-76.0017,Environmental,Aquatic,Coastal,Marine,K_Offshore_40_m2_103
3300009499,56.62,11.67,Environmental,Aquatic,Oceanic,Marine,K_Offshore_40_m2_103
3300009150,-27.74,14.251,Environmental,Aquatic,Oceanic,Marine,K_Offshore_40_m2_103
3300007165,40.178,-81.073,Environmental,Terrestrial,Unclassified,Deep subsurface,K_Offshore_40_m2_103
3300006639,40.178,-81.073,Environmental,Terrestrial,Unclassified,Deep subsurface,K_Offshore_40_m2_103
3300007162,40.178,-81.073,Environmental,Terrestrial,Unclassified,Deep subsurface,K_Offshore_40_m2_103
3300006862,40.178,-81.073,Environmental,Terrestrial,Unclassified,Deep subsurface,K_Offshore_40_m2_103
3300017649,37.83,-122.29,Environmental,Terrestrial,None,Soil,K_Offshore_40_m2_103
3300017540,37.83,-122.29,Environmental,Terrestrial,None,Soil,K_Offshore_40_m2_103
3300013123,-1.64,29.05,Environmental,Aquatic,Lake,Freshwater,K_Offshore_40_m2_103
3300021604,37.8719,-122.2585,Engineered,Bioreactor,None,Anaerobic,K_Offshore_40_m2_103
3300004572,48.3807,-122.1599,Environmental,Aquatic,Sediment,Freshwater,K_Offshore_40_m2_103
3300004588,48.3807,-122.1599,Environmental,Aquatic,Sediment,Freshwater,K_Offshore_40_m2_103
3300020198,-6.1786,29.658,Environmental,Aquatic,Lake,Freshwater,K_Offshore_40_m2_103
3300005289,42.794771,-84.393804,Host-associated,Plants,Unclassified,Rhizoplane,K_Offshore_40_m2_103
3300017653,37.83,-122.29,Environmental,Terrestrial,None,Soil,K_Offshore_40_m2_103
3300020204,-6.4662,29.9408,Environmental,Aquatic,Lake,Freshwater,K_Offshore_40_m2_103
3300005659,48.3,16.2,Engineered,Wastewater,Unclassified,Activated Sludge,K_Offshore_40_m2_103
2199352012,38.5402727,-121.7500776,Engineered,Solid waste,Grass,Composting,K_Offshore_40_m2_103
3300005286,38.5402727,-121.7500776,Engineered,Solid waste,Grass,Composting,K_Offshore_40_m2_103
3300010370,39.2637,-76.0017,Environmental,Aquatic,Coastal,Marine,K_Offshore_40_m2_103
3300004591,48.3807,-122.1599,Environmental,Aquatic,Sediment,Freshwater,K_Offshore_40_m2_103
3300012469,38.97364,-123.117453,Host-associated,Plants,Epiphytes,Phylloplane,K_Offshore_40_m2_103
3300013097,-78.0749,163.892,Environmental,Aquatic,Ice,Freshwater,K_Offshore_40_m2_103
3300012921,38.5733,-109.5498,Environmental,Terrestrial,Unclassified,Soil,K_Offshore_40_m2_103
3300009540,48.3,16.2,Engineered,Wastewater,Unclassified,Activated Sludge,K_Offshore_40_m2_103
3300005524,40.7999,-76.3402,Environmental,Terrestrial,Unclassified,Soil,K_Offshore_40_m2_103
3300011120,42.532967,-72.180244,Environmental,Terrestrial,Loam,Soil,K_Offshore_40_m2_103
3300003366,47.379,7.1648,Environmental,Terrestrial,Clay,Deep subsurface,K_Offshore_40_m2_103
3300007189,48.3,16.2,Engineered,Wastewater,Unclassified,Activated Sludge,K_Offshore_40_m2_103
3300004587,48.3807,-122.1599,Environmental,Aquatic,Sediment,Freshwater,K_Offshore_40_m2_103
3300006195,35.8444,-83.9599,Host-associated,Plants,Unclassified,Endosphere,K_Offshore_40_m2_103
3300009500,47.5028,-93.4828,Host-associated,Plants,Unclassified,Peat moss,K_Offshore_40_m2_103
3300005987,43.023,-87.895,Engineered,Wastewater,Unclassified,Nutrient removal,K_Offshore_40_m2_103
3300003765,43.076217,-89.411742,Engineered,Wastewater,Biological phosphorus removal,Nutrient removal,K_Offshore_40_m2_103
3300009517,43.076217,-89.411742,Engineered,Wastewater,Biological phosphorus removal,Nutrient removal,K_Offshore_40_m2_103
3300003764,43.076217,-89.411742,Engineered,Wastewater,Biological phosphorus removal,Nutrient removal,K_Offshore_40_m2_103
3300003770,43.076217,-89.411742,Engineered,Wastewater,Biological phosphorus removal,Nutrient removal,K_Offshore_40_m2_103
3300004574,48.3807,-122.1599,Environmental,Aquatic,Sediment,Freshwater,K_Offshore_40_m2_103
3300021517,-2.651,121.2318,Environmental,Aquatic,Lake,Freshwater,K_Offshore_40_m2_103
3300020074,-6.1786,29.658,Environmental,Aquatic,Lake,Freshwater,K_Offshore_40_m2_103
3300007241,43.023,-87.895,Engineered,Wastewater,Unclassified,Nutrient removal,K_Offshore_40_m2_103
3300001680,-20.054108,-176.133522,Environmental,Aquatic,Hydrothermal vents,Marine,K_Offshore_40_m2_103
3300013020,39.6017,-79.9761,Environmental,Terrestrial,None,Deep subsurface,K_Offshore_40_m2_103
3300006720,19.99,-52.64,Environmental,Aquatic,Oceanic,Marine,K_Offshore_40_m2_103
3300022563,36.96,-116.72,Environmental,Aquatic,Hot (42-90C),Thermal springs,K_Offshore_40_m2_103
3300015371,35.9,-79.05,Host-associated,Plants,Unclassified,Rhizoplane,K_Offshore_40_m2_103
3300006378,39.283,-75.3633,Environmental,Aquatic,Coastal,Marine,K_Offshore_40_m2_103
3300005974,48.973481,-119.476345,Environmental,Aquatic,Hypersaline,Non-marine Saline and Alkaline,K_Offshore_40_m2_103
3300005141,48.972613,-119.477608,Environmental,Aquatic,Hypersaline,Non-marine Saline and Alkaline,K_Offshore_40_m2_103
3300005976,48.973481,-119.476345,Environmental,Aquatic,Hypersaline,Non-marine Saline and Alkaline,K_Offshore_40_m2_103
3300005957,48.973481,-119.476345,Environmental,Aquatic,Hypersaline,Non-marine Saline and Alkaline,K_Offshore_40_m2_103
3300005140,48.972613,-119.477608,Environmental,Aquatic,Hypersaline,Non-marine Saline and Alkaline,K_Offshore_40_m2_103
3300005973,48.973481,-119.476345,Environmental,Aquatic,Hypersaline,Non-marine Saline and Alkaline,K_Offshore_40_m2_103
3300004589,48.3807,-122.1599,Environmental,Aquatic,Sediment,Freshwater,K_Offshore_40_m2_103
3300006068,44.761133,-110.7309,Environmental,Aquatic,Hot (42-90C),Thermal springs,K_Offshore_40_m2_103
3300006016,48.972613,-119.477608,Environmental,Aquatic,Hypersaline,Non-marine Saline and Alkaline,K_Offshore_40_m2_103
2010170003,44.6,-110.9,Environmental,Aquatic,Hot (42-90C),Thermal springs,K_Offshore_40_m2_103
3300006364,39.283,-75.3633,Environmental,Aquatic,Coastal,Marine,K_Offshore_40_m2_103
3300005607,40.7999,-76.3402,Environmental,Terrestrial,Unclassified,Soil,K_Offshore_40_m2_103
3300020195,-77.5281,161.59,Environmental,Aquatic,Lake,Freshwater,K_Offshore_40_m2_103
3300010373,42.3938,-85.3708,Environmental,Terrestrial,None,Soil,K_Offshore_40_m2_103
3300005531,40.7999,-76.3402,Environmental,Terrestrial,Unclassified,Soil,K_Offshore_40_m2_103
3300021515,-77.5281,161.59,Environmental,Aquatic,Lake,Freshwater,K_Offshore_40_m2_103
3300020596,-77.5281,161.59,Environmental,Aquatic,Lake,Freshwater,K_Offshore_40_m2_103
3300020201,-77.5281,161.59,Environmental,Aquatic,Lake,Freshwater,K_Offshore_40_m2_103
3300007607,48.3,16.2,Engineered,Wastewater,Unclassified,Activated Sludge,K_Offshore_40_m2_103
3300005323,35.992,-106.0797,Engineered,Bioremediation,Tetrachloroethylene,Tetrachloroethylene and derivatives,K_Offshore_40_m2_103
3300006674,59.185359,10.970104,Engineered,Bioreactor,None,Continuous culture,K_Offshore_40_m2_103
3300004970,50.13,11.88,Environmental,Terrestrial,Unclassified,Soil,K_Offshore_40_m2_103
3300006355,39.283,-75.3633,Environmental,Aquatic,None,Freshwater,K_Offshore_40_m2_103
3300008007,38.9383,-110.1342,Environmental,Aquatic,Groundwater,Freshwater,K_Offshore_40_m2_103
3300021357,43.5566,-103.4781,Environmental,Aquatic,Lake,Freshwater,K_Offshore_40_m2_103
3300006162,41.170727,-78.4726,Environmental,Aquatic,Unclassified,Sediment,K_Offshore_40_m2_103
3300014883,38.9227,-106.9515,Environmental,Aquatic,None,Sediment,K_Offshore_40_m2_103
3300018075,38.9195,-106.9496,Environmental,Aquatic,None,Sediment,K_Offshore_40_m2_103
3300014884,38.9229,-106.9517,Environmental,Aquatic,None,Sediment,K_Offshore_40_m2_103
3300012675,38.9226,-106.9518,Environmental,Aquatic,None,Sediment,K_Offshore_40_m2_103
3300007253,43.023,-87.895,Engineered,Wastewater,Unclassified,Nutrient removal,K_Offshore_40_m2_103
3300018056,38.9195,-106.9496,Environmental,Aquatic,None,Sediment,K_Offshore_40_m2_103
3300012174,38.9228,-106.9515,Environmental,Aquatic,None,Sediment,K_Offshore_40_m2_103
3300018084,38.9195,-106.9496,Environmental,Aquatic,None,Sediment,K_Offshore_40_m2_103
3300018078,38.9195,-106.9496,Environmental,Aquatic,None,Sediment,K_Offshore_40_m2_103
3300021081,38.9208,-106.9484,Environmental,Aquatic,Sediment,Freshwater,K_Offshore_40_m2_103
3300014885,38.9229,-106.9516,Environmental,Aquatic,None,Sediment,K_Offshore_40_m2_103
3300015254,38.9226,-106.9518,Environmental,Aquatic,None,Sediment,K_Offshore_40_m2_103
3300014882,38.9225,-106.9515,Environmental,Aquatic,None,Sediment,K_Offshore_40_m2_103
3300021090,38.9208,-106.9484,Environmental,Aquatic,Sediment,Freshwater,K_Offshore_40_m2_103
3300017997,38.9195,-106.9496,Environmental,Aquatic,None,Sediment,K_Offshore_40_m2_103
3300013132,-1.64,29.05,Environmental,Aquatic,Lake,Freshwater,K_Offshore_40_m2_103
3300014838,68.35,19.05,Environmental,Terrestrial,Wetlands,Soil,K_Offshore_40_m2_103
3300009788,1.759,96.774,Environmental,Aquatic,Oceanic,Marine,K_Offshore_40_m2_103
3300022545,40.653,-119.3749,Environmental,Aquatic,Hot (42-90C),Thermal springs,K_Offshore_40_m2_103
3300021409,29.6703,-81.2145,Environmental,Aquatic,Coastal,Marine,K_Offshore_40_m2_103
3300020153,40.6614,-119.3661,Environmental,Aquatic,Hot (42-90C),Thermal springs,K_Offshore_40_m2_103
