IMG ID,Latitude,Longitude,Ecosystem,Ecosystem Category,Ecosystem Subtype,Ecosystem Type,MAG
3300020221,-4.9054,29.4853,Environmental,Aquatic,Lake,Freshwater,K_DeepCast_100m_m2_001
3300020603,-4.9054,29.4853,Environmental,Aquatic,Lake,Freshwater,K_DeepCast_100m_m2_001
3300014498,68.35,19.05,Environmental,Terrestrial,Wetlands,Soil,K_DeepCast_100m_m2_001
3300003859,41.7,-86.23,Environmental,Aquatic,Lentic,Freshwater,K_DeepCast_100m_m2_001
3300003860,41.7,-86.23,Environmental,Aquatic,Lentic,Freshwater,K_DeepCast_100m_m2_001
3300021602,49.697,-93.722,Environmental,Aquatic,Lake,Freshwater,K_DeepCast_100m_m2_001
3300013315,40.4406,-79.9959,Engineered,Wastewater,Mine water,Industrial wastewater,K_DeepCast_100m_m2_001
3300003910,41.7,-86.23,Environmental,Aquatic,Lentic,Freshwater,K_DeepCast_100m_m2_001
3300009781,41.84,-87.68,Engineered,Wastewater,Unclassified,Anaerobic digestor,K_DeepCast_100m_m2_001
3300009720,43.77,142.37,Engineered,Wastewater,Unclassified,Anaerobic digestor,K_DeepCast_100m_m2_001
3300009170,47.0956,-99.1001,Environmental,Aquatic,Sediment,Freshwater,K_DeepCast_100m_m2_001
3300014502,68.35,19.05,Environmental,Terrestrial,Wetlands,Soil,K_DeepCast_100m_m2_001
3300009037,47.0991,-99.1044,Environmental,Aquatic,Sediment,Freshwater,K_DeepCast_100m_m2_001
3300009669,41.53,-90.43,Engineered,Wastewater,Unclassified,Anaerobic digestor,K_DeepCast_100m_m2_001
3300009675,41.53,-90.43,Engineered,Wastewater,Unclassified,Anaerobic digestor,K_DeepCast_100m_m2_001
3300010328,-2.75,121.05,Environmental,Aquatic,Lake,Freshwater,K_DeepCast_100m_m2_001
3300009075,47.0956,-99.1001,Environmental,Aquatic,Sediment,Freshwater,K_DeepCast_100m_m2_001
3300003861,41.7,-86.23,Environmental,Aquatic,Lentic,Freshwater,K_DeepCast_100m_m2_001
3300009029,68.6139,-149.3145,Environmental,Terrestrial,Wetlands,Soil,K_DeepCast_100m_m2_001
3300005947,68.6137,-149.3144,Environmental,Terrestrial,Wetlands,Soil,K_DeepCast_100m_m2_001
3300006804,33.8834,-83.4195,Environmental,Terrestrial,Crop,Soil,K_DeepCast_100m_m2_001
3300004564,48.3807,-122.1599,Environmental,Aquatic,Sediment,Freshwater,K_DeepCast_100m_m2_001
3300006364,39.283,-75.3633,Environmental,Aquatic,Coastal,Marine,K_DeepCast_100m_m2_001
3300002068,71.2905,-156.788708,Environmental,Terrestrial,Unclassified,Soil,K_DeepCast_100m_m2_001
3300002072,71.290565,-156.788622,Environmental,Terrestrial,Unclassified,Soil,K_DeepCast_100m_m2_001
3300000309,38.107057,-121.647578,Environmental,Aquatic,Wetlands,Marine,K_DeepCast_100m_m2_001
3300002563,71.28381,-156.5985,Environmental,Terrestrial,Unclassified,Soil,K_DeepCast_100m_m2_001
3300000108,,,,,,,K_DeepCast_100m_m2_001
3300002569,71.29053,-156.788654,Environmental,Terrestrial,Unclassified,Soil,K_DeepCast_100m_m2_001
3300001870,71.28381,-156.5985,Environmental,Terrestrial,Unclassified,Soil,K_DeepCast_100m_m2_001
3300002564,71.290565,-156.788622,Environmental,Terrestrial,Unclassified,Soil,K_DeepCast_100m_m2_001
3300001871,71.28381,-156.5985,Environmental,Terrestrial,Unclassified,Soil,K_DeepCast_100m_m2_001
3300019788,68.35,19.05,Environmental,Terrestrial,Wetlands,Soil,K_DeepCast_100m_m2_001
3300002069,71.29055,-156.788643,Environmental,Terrestrial,Unclassified,Soil,K_DeepCast_100m_m2_001
3300002071,71.29053,-156.788654,Environmental,Terrestrial,Unclassified,Soil,K_DeepCast_100m_m2_001
3300022756,38.9201,-106.9487,Environmental,Aquatic,None,Sediment,K_DeepCast_100m_m2_001
3300013092,50.0621,-124.7214,Environmental,Aquatic,Lake,Freshwater,K_DeepCast_100m_m2_001
