Ecosystem,Ecosystem Category,Ecosystem Subtype,Ecosystem Type,matching.column,Ecosystem.Plot
Engineered,Bioreactor,None,Anaerobic,EngineeredBioreactorNoneAnaerobic,Engineered
Engineered,Wastewater,Unclassified,Activated Sludge,EngineeredWastewaterUnclassifiedActivated Sludge,Engineered
Engineered,Solid waste,Grass,Composting,EngineeredSolid wasteGrassComposting,Engineered
Engineered,Wastewater,Unclassified,Nutrient removal,EngineeredWastewaterUnclassifiedNutrient removal,Engineered
Engineered,Wastewater,Biological phosphorus removal,Nutrient removal,EngineeredWastewaterBiological phosphorus removalNutrient removal,Engineered
Engineered,Bioremediation,Tetrachloroethylene,Tetrachloroethylene and derivatives,EngineeredBioremediationTetrachloroethyleneTetrachloroethylene and derivatives,Engineered
Engineered,Bioreactor,None,Continuous culture,EngineeredBioreactorNoneContinuous culture,Engineered
Engineered,Bioreactor,None,Unclassified,EngineeredBioreactorNoneUnclassified,Engineered
Engineered,Modeled,None,Simulated communities (microbial mixture),EngineeredModeledNoneSimulated communities (microbial mixture),Engineered
Engineered,Lab enrichment,Anaerobic media,Defined media,EngineeredLab enrichmentAnaerobic mediaDefined media,Engineered
Engineered,Wastewater,Petrochemical,Industrial wastewater,EngineeredWastewaterPetrochemicalIndustrial wastewater,Engineered
Engineered,Wastewater,Unclassified,Anaerobic digestor,EngineeredWastewaterUnclassifiedAnaerobic digestor,Engineered
Engineered,Lab enrichment,Unclassified,Defined media,EngineeredLab enrichmentUnclassifiedDefined media,Engineered
Engineered,Lab enrichment,Unclassified,Unclassified,EngineeredLab enrichmentUnclassifiedUnclassified,Engineered
Environmental,Aquatic,Lake,Freshwater,EnvironmentalAquaticLakeFreshwater,Aquatic Freshwater Lake
Environmental,Aquatic,Drinking water,Freshwater,EnvironmentalAquaticDrinking waterFreshwater,Aquatic Freshwater Other
Environmental,Aquatic,Groundwater,Freshwater,EnvironmentalAquaticGroundwaterFreshwater,Aquatic Freshwater Other
Environmental,Aquatic,Ice,Freshwater,EnvironmentalAquaticIceFreshwater,Aquatic Freshwater Other
Environmental,Aquatic,Lentic,Freshwater,EnvironmentalAquaticLenticFreshwater,Aquatic Freshwater Other
Environmental,Aquatic,None,Freshwater,EnvironmentalAquaticNoneFreshwater,Aquatic Freshwater Other
Environmental,Aquatic,River,Freshwater,EnvironmentalAquaticRiverFreshwater,Aquatic Freshwater Other
Environmental,Aquatic,Wetlands,Freshwater,EnvironmentalAquaticWetlandsFreshwater,Aquatic Freshwater Other
Environmental,Aquatic,Coastal,Marine,EnvironmentalAquaticCoastalMarine,Aquatic Freshwater Other
Environmental,Aquatic,Sediment,Freshwater,EnvironmentalAquaticSedimentFreshwater,Aquatic Freshwater Sediment
Environmental,Aquatic,Hydrothermal vents,Marine,EnvironmentalAquaticHydrothermal ventsMarine,Aquatic Marine
Environmental,Aquatic,Inlet,Marine,EnvironmentalAquaticInletMarine,Aquatic Marine
Environmental,Aquatic,Intertidal zone,Marine,EnvironmentalAquaticIntertidal zoneMarine,Aquatic Marine
Environmental,Aquatic,Neritic zone,Marine,EnvironmentalAquaticNeritic zoneMarine,Aquatic Marine
Environmental,Aquatic,None,Marine,EnvironmentalAquaticNoneMarine,Aquatic Marine
Environmental,Aquatic,Oceanic,Marine,EnvironmentalAquaticOceanicMarine,Aquatic Marine
Environmental,Aquatic,Pelagic,Marine,EnvironmentalAquaticPelagicMarine,Aquatic Marine
Environmental,Aquatic,Sediment,Marine,EnvironmentalAquaticSedimentMarine,Aquatic Marine
Environmental,Aquatic,Volcanic,Marine,EnvironmentalAquaticVolcanicMarine,Aquatic Marine
Environmental,Aquatic,Alkaline,Non-marine Saline and Alkaline,EnvironmentalAquaticAlkalineNon-marine Saline and Alkaline,Aquatic Other
Environmental,Aquatic,Hypersaline,Non-marine Saline and Alkaline,EnvironmentalAquaticHypersalineNon-marine Saline and Alkaline,Aquatic Other
Environmental,Aquatic,Saline,Non-marine Saline and Alkaline,EnvironmentalAquaticSalineNon-marine Saline and Alkaline,Aquatic Other
Environmental,Aquatic,Hot (42-90C),Thermal springs,EnvironmentalAquaticHot (42-90C)Thermal springs,Aquatic Other
Environmental,Aquatic,Sediment,Thermal springs,EnvironmentalAquaticSedimentThermal springs,Aquatic Other
Environmental,Aquatic,Unclassified,Unclassified,EnvironmentalAquaticUnclassifiedUnclassified,Aquatic Other
Environmental,Aquatic,None,Sediment,EnvironmentalAquaticNoneSediment,Aquatic Sediment
Environmental,Aquatic,Unclassified,Sediment,EnvironmentalAquaticUnclassifiedSediment,Aquatic Sediment
Environmental,Terrestrial,Unclassified,Deep subsurface,EnvironmentalTerrestrialUnclassifiedDeep subsurface,Terrestrial
Environmental,Terrestrial,None,Soil,EnvironmentalTerrestrialNoneSoil,Terrestrial
Environmental,Terrestrial,Unclassified,Soil,EnvironmentalTerrestrialUnclassifiedSoil,Terrestrial
Environmental,Terrestrial,Loam,Soil,EnvironmentalTerrestrialLoamSoil,Terrestrial
Environmental,Terrestrial,Clay,Deep subsurface,EnvironmentalTerrestrialClayDeep subsurface,Terrestrial
Environmental,Terrestrial,None,Deep subsurface,EnvironmentalTerrestrialNoneDeep subsurface,Terrestrial
Environmental,Terrestrial,Wetlands,Soil,EnvironmentalTerrestrialWetlandsSoil,Terrestrial
Environmental,Terrestrial,None,Peat,EnvironmentalTerrestrialNonePeat,Terrestrial
Environmental,Terrestrial,Sand,Soil,EnvironmentalTerrestrialSandSoil,Terrestrial
Environmental,Terrestrial,None,Rock-dwelling (subaerial biofilms),EnvironmentalTerrestrialNoneRock-dwelling (subaerial biofilms),Terrestrial
Environmental,Terrestrial,Fracking water,Deep subsurface,EnvironmentalTerrestrialFracking waterDeep subsurface,Terrestrial
Environmental,Terrestrial,Aquifer,Deep subsurface,EnvironmentalTerrestrialAquiferDeep subsurface,Terrestrial
Environmental,Terrestrial,Crop,Soil,EnvironmentalTerrestrialCropSoil,Terrestrial
Host-associated,Plants,Unclassified,Rhizoplane,Host-associatedPlantsUnclassifiedRhizoplane,Host-Associated
Host-associated,Plants,Epiphytes,Phylloplane,Host-associatedPlantsEpiphytesPhylloplane,Host-Associated
Host-associated,Plants,Unclassified,Endosphere,Host-associatedPlantsUnclassifiedEndosphere,Host-Associated
Host-associated,Plants,Unclassified,Peat moss,Host-associatedPlantsUnclassifiedPeat moss,Host-Associated
Host-associated,Plants,None,Roots,Host-associatedPlantsNoneRoots,Host-Associated
Host-associated,Plants,None,Rhizosphere,Host-associatedPlantsNoneRhizosphere,Host-Associated
Host-associated,Birds,Crop,Digestive system,Host-associatedBirdsCropDigestive system,Host-Associated
Host-associated,Plants,Soil,Rhizosphere,Host-associatedPlantsSoilRhizosphere,Host-Associated
Host-associated,Plants,None,Phyllosphere,Host-associatedPlantsNonePhyllosphere,Host-Associated
Host-associated,Plants,Epiphytes,Rhizoplane,Host-associatedPlantsEpiphytesRhizoplane,Host-Associated
Host-associated,Plants,Unclassified,Rhizosphere,Host-associatedPlantsUnclassifiedRhizosphere,Host-Associated
Host-associated,Fungi,None,Mycelium,Host-associatedFungiNoneMycelium,Host-Associated
Host-associated,Mammals,Fecal,Digestive system,Host-associatedMammalsFecalDigestive system,Host-Associated
Host-associated,Plants,Soil,Rhizoplane,Host-associatedPlantsSoilRhizoplane,Host-Associated
