Sample	Depth	Location	Date_month	Date_day	Date_year
KigCas0	0	Kigoma	7	25	2015
KigCa35	35	Kigoma	7	25	2015
KigCa65	65	Kigoma	7	25	2015
KigC100	100	Kigoma	7	25	2015
KigC150	150	Kigoma	7	25	2015
KigC250	250	Kigoma	7	25	2015
KigC300	300	Kigoma	7	25	2015
KigC1200	1200	Kigoma	7	25	2015
KigOffSurface	0	Kigoma	10	23	2015
KigOff0	0	Kigoma	10	23	2015
KigOff40	40	Kigoma	10	23	2015
KigOff80	80	Kigoma	10	23	2015
KigOff120	120	Kigoma	10	23	2015
Mahsurface_6	0	Mahale	7	11	2015
Mahsurface_9	0	Mahale	7	14	2015
Mahsurface_8	0	Mahale	7	16	2015
Mahsurface_7	0	Mahale	7	18	2015
MahCa10	10	Mahale	7	21	2015
MahCa50	50	Mahale	7	21	2015
MahCa65	65	Mahale	7	21	2015
MahC100	100	Mahale	7	21	2015
MahC200	200	Mahale	7	21	2015
MahC400	400	Mahale	7	21	2015
Mahsurface_10	0	Mahale	7	22	2015
