Taxa	KigCas0	KigCa35	KigOff0	KigOff40	KigOffSurface	MahCa10	Mahsurface_10	Mahsurface_6	Mahsurface_7	Mahsurface_8	Mahsurface_9	MahCa50	MahCa65	KigCa65	KigOff80	KigC100	KigC150	MahC100	KigC250	KigC300	KigC1200	KigOff120	MahC200	MahC400
Acidobacteria	5.37	4.38	3.33	5.21	3.33	4.57	3.38	1.75	2.29	3.84	2.94	1.75	2.29	3.84	2.94	24.76	13.58	17.48	9.77	11.74	17.21	57.88	11.4	13.38
Actinobacteria	357.27	303.1	247.52	372.17	301.4	289.69	418.07	327.58	364.59	518.25	432.73	327.58	364.59	518.25	432.73	211.04	299.11	153.03	353.78	258.23	304.48	250.93	232.05	486.59
Actinobacteria acI-B1	10.4	8.22	5.49	11.95	8.33	6.41	9.76	9.22	9.23	11.46	9.86	9.22	9.23	11.46	9.86	2.5	6.25	1.39	7.43	4.42	6.1	1.76	3.69	8.47
Actinobacteria acI-C	7.54	7.88	4.11	7.37	6.63	7.31	9.33	9.89	9.12	13.61	10.86	9.89	9.12	13.61	10.86	2.85	5.32	1.9	7.84	4.47	5.44	1	4.22	11.89
Actinobacteria acI-C2	98.13	89.33	71.92	125.74	95.92	69.82	108.01	102.41	107.07	126.26	117.59	102.41	107.07	126.26	117.59	24.95	56.76	16.84	73.84	45.06	53.72	11.12	41.67	96.54
Actinobacteria acIII	0.1	0.06	0	0	0	0.01	0.02	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.02	0.17	0.02	0.3	1.03	2.53	0.01	0.09	0.32
Actinobacteria acIV	0.7	0.84	0.35	0.63	0.87	0.56	0.24	0.06	0.16	0.37	0.15	0.06	0.16	0.37	0.15	1.43	1.59	1.15	1.28	1.26	1.34	2.89	1.76	1.92
Actinobacteria acIV-C	107.12	120.06	40.21	76.62	70.35	70.52	149.69	204.5	131.82	144.09	139.22	204.5	131.82	144.09	139.22	26.1	70.09	17.49	85.37	53.55	68.89	13.04	85.41	105.35
Actinobacteria acSTL	2.43	1.98	1.77	2.58	1.57	2.11	1.84	0.75	1.54	2.01	1.82	0.75	1.54	2.01	1.82	1.68	2.04	0.97	2.34	1.93	2.47	4.36	1.48	3.4
Actinobacteria acTH1	3.39	2.89	2.33	3.82	2.56	2.63	3.28	2.11	2.61	3.6	2.77	2.11	2.61	3.6	2.77	1.06	2.49	0.66	2.86	2.03	2.91	1.2	1.48	3.31
Actinobacteria Iluma-A1	60.64	51.5	44.26	74.15	56.19	49.12	63.06	47.23	51.6	74.13	64.84	47.23	51.6	74.13	64.84	64.67	57.33	51.01	59.98	51.44	58.75	117.17	42.08	79.83
Aenigmarchaeota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.28	0	2.06	2.36	1.45	0	1.77	3.06
Alphaproteobacteria	60.44	40.4	33.74	57.02	52.08	37.16	51.57	32.95	41.46	46.12	51.17	32.95	41.46	46.12	51.17	55.08	67.13	58.9	54.95	57.4	77.64	112.89	53.27	76.67
Alphaproteobacteria LD12	234.07	212.84	130.18	316.74	233.03	117.87	212.98	220.8	211.17	210.14	202.17	220.8	211.17	210.14	202.17	48.4	108.2	25.77	118.68	84.16	112.84	39.76	103.35	135.42
Altiarchaeota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.55	0.01	1.24	1.03	0.62	0	1.73	1.23
Armatimonadetes	0.09	0.08	0.02	0.05	0.03	0.08	0.02	0.02	0.02	0.04	0.02	0.02	0.02	0.04	0.02	1.68	14.12	1.93	12.2	17.35	16.4	4.04	14.02	18.15
Bacteroidetes	226.64	216.6	78.18	148.24	142.76	134.16	218.3	218.03	215.82	207.44	323.42	218.03	215.82	207.44	323.42	127.22	187.3	93.24	195.01	128.52	158.23	130.97	130.19	157.77
