Taxonomy	KigC100	KigC150	KigC250	KigC1200	KigC300	KigCa35	KigCa65	KigCas0	KigOff0	KigOff120	KigOff40	KigOff80	KigOffSurface	MahC100	MahC200	MahC400	MahCa10	MahCa50	MahCa65	Mahsurface_10	Mahsurface_6	Mahsurface_7	Mahsurface_8	Mahsurface_9
Acidobacteria	103.4520164	114.7756612	126.1484637	180.7696316	136.934777	79.26308021	295.3728754	92.64659301	66.24740452	414.8752002	92.75989058	559.8431952	76.63227621	143.3914401	154.2609368	202.3302167	100.6068011	336.8788178	230.8914733	55.76604212	31.13148218	38.84086158	72.13722652	53.97890142
Actinobacteria	2718.701165	2191.054191	2663.417725	2219.167964	1852.214031	4663.328667	2079.245503	5423.324048	3835.758487	1550.643865	5853.030307	2335.255565	4742.768878	4033.073412	1626.090548	3555.417137	4339.168416	2674.882669	1958.015816	6191.793839	4872.772525	5473.576053	7685.421416	6468.64685
Alphaproteobacteria LD12	674.9263286	389.9274159	431.8691393	421.1824047	312.1333321	1476.93093	246.3811435	1692.115929	1024.369046	144.5889273	2507.746863	269.8349968	1764.323007	1006.274996	335.7042641	479.9108072	826.1324839	342.321803	181.0893399	1395.428181	1147.100732	1422.987505	1432.051474	1347.533952
Alphaproteobacteria non LD12	443.2507267	365.7296848	311.3486577	423.1143089	311.4077138	462.0969624	450.4027439	683.8892619	353.2808554	648.128962	637.5572565	783.4836233	582.8291244	553.1366001	292.5505031	424.4801933	423.9967921	614.6295204	578.4729628	587.6366429	383.2112577	470.0901024	528.4093029	594.3159613
Armatimonadetes	100.6435499	89.42872907	77.27665033	103.7961287	109.8210524	1.033838502	16.1167343	1.162224345	0.362238521	25.57501415	0.594228038	27.2476089	0.447814929	31.42146382	88.80018325	114.9103934	1.030329397	20.50358918	23.22440551	0.357724163	0.267899035	0.353469874	0.503279028	0.324605864
Bacteroidetes	1234.676661	841.7773305	842.6911071	688.2543927	570.1213902	1747.445368	1212.227819	1904.824814	687.5943081	632.6683223	1275.66087	431.5400263	1233.677195	1166.28833	548.3568659	630.4885283	1030.877282	1161.474993	940.7432779	1751.994127	1728.996089	1682.742638	1648.357101	2705.410479
Betaproteobacteria	1810.574308	877.6837971	539.7672914	665.6437655	558.1642798	703.3241412	768.2260885	838.9939593	533.8243106	788.0182116	734.9900208	868.0280393	704.7780902	1044.196894	604.1635511	605.8165602	499.1459456	933.5420759	2018.658929	706.9041744	380.6366511	690.4956475	679.5171585	643.6186712
Calditrichaeota	18.10315052	14.38340083	30.23153849	21.68104773	26.77598783	0.159081442	0.841560719	0.257446974	0.142006438	1.081551552	0.16137455	0.083372834	0.172908389	3.222657098	29.34246365	37.39789736	0.140531752	0.172398161	13.76528069	0.213353526	0.092757681	0.135708523	0.124110097	0.139374799
Chlamydiae	58.53344455	36.28144476	40.31994041	46.05126197	33.09077978	129.9768113	43.00794806	135.0035555	30.25751397	30.81477336	51.96243727	20.77681859	43.74594339	59.5295841	25.96669679	34.71100698	45.05831021	37.03864064	19.98455478	67.80034031	56.70999694	57.0797261	69.84515577	55.09543414
Chlorobi	1791.437495	759.703963	132.4628727	224.1850457	270.1624982	0.215738404	4.418951064	0.027077851	0.014279851	0.910929957	0.015323085	0.014819426	0.01262334	468.676931	154.8663419	59.99171483	0.030980681	0.037870532	42.717437	0.024484617	0.029858979	0.033717702	0.027908404	0.034910617
Chloroflexi	782.2821869	828.2522545	1117.55784	1208.43734	1250.619499	16.79355846	310.2879028	9.43949931	8.432562258	525.1074414	10.49756969	847.0414919	12.28345237	261.7830712	1393.732578	1347.504448	13.07879211	282.0807471	272.3426466	5.453539095	4.667185089	6.051095638	7.836315664	5.366392093
CP Aenigmarchaeota	0.404801923	1.771205128	13.06918397	9.197101282	14.93481667	0.00070641	0.002403846	0.000273077	0.000122436	0.000828205	0	0	0	0.089510256	11.22954808	19.39280064	0	0.003210256	0.035105769	0.000289744	0	0.000338462	0.000447436	0
CP Altiarchaeota	0.83642093	3.46157814	7.867031163	3.901664651	6.553555814	0.001166047	0.005257209	0.000828837	0.0000535	0.002939535	0.000749767	0.00014	0.000936744	0.162694884	10.98284977	7.814422326	0.000101395	0.0000526	0.104957209	0.000275814	0.00089907	0.001576279	0.000584186	0.000686047
