MAG	KigC100	KigC1200	KigC150	KigC250	KigC300	KigCa35	KigCa65	KigCas0	KigOff0	KigOff120	KigOff40	KigOff80	KigOffSurface	MahC100	MahC200	MahC400	MahCa10	MahCa50	MahCa65	Mahsurface_10	Mahsurface_6	Mahsurface_7	Mahsurface_8	Mahsurface_9
M_DeepCast_200m_mx_001	7.05	14.48	13.12	12.26	10.77	16.70	9.62	22.49	23.66	0.18	14.44	0.48	19.41	13.79	8.66	8.17	17.91	6.52	5.54	18.63	6.40	13.40	9.57	10.70
M_DeepCast_100m_mx_312	1.17	4.43	2.22	4.21	5.43	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.32	5.40	4.37	0.00	0.00	0.07	0.00	0.00	0.00	0.00	0.00
K_Offshore_120m_m1_195	4.28	4.38	4.57	5.83	4.43	6.98	4.31	6.46	7.66	2.37	7.55	3.98	6.81	6.59	4.05	7.36	9.36	4.63	3.88	9.47	10.93	9.95	12.89	10.70
M_DeepCast_100m_m1_067	1.79	3.55	3.42	3.09	2.66	4.19	2.48	5.53	5.32	0.04	3.70	0.09	4.19	2.36	1.56	1.42	2.98	1.12	0.99	2.57	0.95	2.08	1.56	1.38
M_DeepCast_200m_m2_041	3.80	2.97	2.84	3.22	2.62	7.75	1.88	7.10	6.60	1.10	12.19	1.96	9.14	5.65	2.82	3.21	5.76	2.26	1.40	6.77	8.69	8.48	7.53	7.15
M_surface_10_m2_136	2.88	2.36	2.58	3.41	2.36	5.60	2.13	4.96	5.53	0.54	7.27	1.25	5.87	4.76	2.20	4.03	5.87	1.97	1.56	6.34	9.40	7.73	8.00	7.47
K_Offshore_80m_m1_039	2.41	2.36	1.79	1.02	2.08	0.04	6.58	0.01	0.01	15.97	0.04	9.40	0.02	2.52	1.70	1.86	0.18	11.34	6.95	0.01	0.03	0.00	0.01	0.02
K_DeepCast_35m_m2_037	1.70	2.11	1.80	2.32	1.76	2.69	2.28	2.61	3.23	0.99	3.02	1.23	2.63	2.04	1.71	1.81	2.35	1.29	1.29	1.66	1.11	1.78	2.30	1.26
K_Offshore_80m_m1_031	2.24	1.98	2.20	2.75	1.99	3.36	2.17	3.33	3.56	1.28	3.63	2.08	3.26	3.18	1.79	3.28	4.40	2.36	1.97	4.55	5.21	4.80	6.66	5.19
K_DeepCast_100m_mx_034	1.77	1.93	1.48	0.99	1.88	0.44	3.37	0.27	0.20	10.32	0.47	11.72	0.34	2.53	2.09	2.45	1.19	6.09	4.10	0.21	0.37	0.16	0.49	0.54
