Taxonomy	KigC100	KigC150	KigC250	KigC1200	KigC300	KigCa35	KigCa65	KigCas0	KigOff0	KigOff120	KigOff40	KigOff80	KigOffSurface	MahC100	MahC200	MahC400	MahCa10	MahCa50	MahCa65	Mahsurface_10	Mahsurface_6	Mahsurface_7	Mahsurface_8	Mahsurface_9
Acidobacteria	0.6	0.9	1.0	1.3	1.2	0.4	2.4	0.4	0.4	3.3	0.5	4.2	0.4	0.8	1.4	1.4	0.7	2.3	1.9	0.3	0.3	0.2	0.4	0.3
Actinobacteria	16.0	16.6	20.7	16.3	16.2	25.5	16.6	23.7	25.7	12.2	29.5	17.5	25.5	23.6	14.3	24.7	31.5	18.3	15.8	31.4	39.3	34.1	42.2	35.8
Alphaproteobacteria LD12	4.0	3.0	3.4	3.1	2.7	8.1	2.0	7.4	6.9	1.1	12.7	2.0	9.5	5.9	3.0	3.3	6.0	2.3	1.5	7.1	9.2	8.9	7.9	7.5
Alphaproteobacteria non LD12	2.6	2.8	2.4	3.1	2.7	2.5	3.6	3.0	2.4	5.1	3.2	5.9	3.1	3.2	2.6	3.0	3.1	4.2	4.7	3.0	3.1	2.9	2.9	3.3
Armatimonadetes	0.6	0.7	0.6	0.8	1.0	0.0	0.1	0.0	0.0	0.2	0.0	0.2	0.0	0.2	0.8	0.8	0.0	0.1	0.2	0.0	0.0	0.0	0.0	0.0
Bacteroidetes	7.2	6.4	6.5	5.0	5.0	9.6	9.7	8.3	4.6	5.0	6.4	3.2	6.6	6.8	4.8	4.4	7.5	8.0	7.6	8.9	13.9	10.5	9.1	15.0
Betaproteobacteria	10.6	6.7	4.2	4.9	4.9	3.8	6.1	3.7	3.6	6.2	3.7	6.5	3.8	6.1	5.3	4.2	3.6	6.4	16.2	3.6	3.1	4.3	3.7	3.6
Calditrichaeota	0.1	0.1	0.2	0.2	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3	0.3	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0
Chlamydiae	0.3	0.3	0.3	0.3	0.3	0.7	0.3	0.6	0.2	0.2	0.3	0.2	0.2	0.3	0.2	0.2	0.3	0.3	0.2	0.3	0.5	0.4	0.4	0.3
Chlorobi	10.5	5.8	1.0	1.6	2.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.7	1.4	0.4	0.0	0.0	0.3	0.0	0.0	0.0	0.0	0.0
Chloroflexi	4.6	6.3	8.7	8.9	10.9	0.1	2.5	0.0	0.1	4.1	0.1	6.3	0.1	1.5	12.3	9.4	0.1	1.9	2.2	0.0	0.0	0.0	0.0	0.0
CP Aenigmarchaeota	0.0	0.0	0.1	0.1	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CP Altiarchaeota	0.0	0.0	0.1	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CP Aminicemantes (OP8)	0.1	0.3	0.4	0.3	0.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CP Bathyarchaeota	0.0	0.1	0.1	0.1	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CP BRC1	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CP Eisenbacteria	0.6	0.6	0.8	0.5	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	1.1	1.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
