Order,Domain,Phylum,Class,Order,Family,Genus,Species,Baikal,Tanganyika,Category
1,d__Archaea,p__Altiarchaeota,c__Altiarchaeia,o__SCGC-AAA252-I15,f__,g__,s__,,1,Only Tanganyika
2,d__Archaea,p__Crenarchaeota,c__Bathyarchaeia,o__B26-1,f__UBA233,g__,s__,,1,Only Tanganyika
3,d__Archaea,p__Crenarchaeota,c__Bathyarchaeia,o__TCS64,f__TCS64,g__,s__,,1,Only Tanganyika
4,d__Archaea,p__Crenarchaeota,c__Methanomethylicia,o__Methanomethyliales,f__Methanomethyliaceae,g__,s__,,1,Only Tanganyika
5,d__Archaea,p__Crenarchaeota,c__Nitrososphaeria,o__Nitrososphaerales,f__,g__,s__,,1,Only Tanganyika
6,d__Archaea,p__Crenarchaeota,c__Nitrososphaeria,o__Nitrososphaerales,f__Nitrosopumilaceae,g__,s__,,3,Only Tanganyika
7,d__Archaea,p__Crenarchaeota,c__Nitrososphaeria,o__Nitrososphaerales,f__Nitrosopumilaceae,g__Nitrosoarchaeum,s__,2,,Only Baikal
8,d__Archaea,p__Crenarchaeota,c__Nitrososphaeria,o__Nitrososphaerales,f__Nitrosopumilaceae,g__Nitrosopumilus,s__,1,,Only Baikal
9,d__Archaea,p__Crenarchaeota,c__Nitrososphaeria,o__Nitrososphaerales,f__Nitrosopumilaceae,g__Nitrosotenuis,s__,,2,Only Tanganyika
10,d__Archaea,p__Euryarchaeota,c__Methanobacteria,o__Methanobacteriales,f__Methanobacteriaceae,g__,s__,,1,Only Tanganyika
11,d__Archaea,p__Nanoarchaeota,c__Aenigmarchaeia,o__,f__,g__,s__,,1,Only Tanganyika
12,d__Archaea,p__Nanoarchaeota,c__Woesearchaeia,o__Pacearchaeales,f__,g__,s__,,2,Only Tanganyika
13,d__Archaea,p__Nanoarchaeota,c__Woesearchaeia,o__Pacearchaeales,f__GW2011-AR1,g__,s__,,1,Only Tanganyika
14,d__Archaea,p__Nanoarchaeota,c__Woesearchaeia,o__Pacearchaeales,f__UBA73,g__,s__,2,3,Both
15,d__Archaea,p__Nanoarchaeota,c__Woesearchaeia,o__SCGC-AAA011-G17,f__,g__,s__,,1,Only Tanganyika
