Date,Month,Day,Year,Depth,Temp,DO,Chla,Conductivity
8-Jul-10,7,8,2010,1,26.6,95.87,5.73,666.8
8-Jul-10,7,8,2010,4,26.64,91.7,5.85,667
8-Jul-10,7,8,2010,5,26.63,91.69795918,6.087755102,667
8-Jul-10,7,8,2010,6,26.64,91.6,6.4,667
8-Jul-10,7,8,2010,9,26.65,91.28571429,5.9,667
8-Jul-10,7,8,2010,10,26.64,91.23846154,5.692307692,667
8-Jul-10,7,8,2010,13,26.64,90.9,6.3,667
8-Jul-10,7,8,2010,14,26.65,90.89636364,5.88,667
8-Jul-10,7,8,2010,17,26.65,90.6137931,6.003448276,667
8-Jul-10,7,8,2010,18,26.65,90.6037037,6.040740741,667
8-Jul-10,7,8,2010,22,26.64,90.28,5.72,667
8-Jul-10,7,8,2010,23,26.64,90.24222222,5.837777778,667
8-Jul-10,7,8,2010,24,26.64,90.2,5.6,667
8-Jul-10,7,8,2010,25,26.65,89.96666667,5.661111111,667
8-Jul-10,7,8,2010,26,26.65,89.92368421,5.773684211,667
8-Jul-10,7,8,2010,27,26.65,89.8,5.9,667
22-Jul-10,7,22,2010,2,26.45,94.8,5.1,667
8-Jul-10,7,8,2010,30,26.65,89.6,5.855319149,667.0638298
22-Jul-10,7,22,2010,1,26.44,95.86865672,5.326865672,667.8955224
15-Jul-10,7,15,2010,1,26.63,95.73125,NA,668.25
15-Jul-10,7,15,2010,2,26.67,94.14320988,NA,668.5308642
8-Jul-10,7,8,2010,31,26.65,89.6,6.066666667,668.6666667
5-Aug-11,8,5,2011,1,26.26,94.83333333,6.583333333,668.6666667
22-Jul-10,7,22,2010,14,26.46,93.68035714,5.535714286,669.1071429
22-Jul-10,7,22,2010,11,26.46,93.9,5.725,669.25
22-Jul-10,7,22,2010,18,26.46,93.06666667,5.6875,669.5833333
22-Jul-10,7,22,2010,15,26.46,93.56,5.74,669.6
22-Jul-10,7,22,2010,5,26.45,94.5,5.415555556,669.6444444
15-Jul-10,7,15,2010,18,26.68,92.11818182,5.409090909,669.6818182
15-Jul-10,7,15,2010,17,26.68,92.14642857,5.271428571,669.7142857
22-Jul-10,7,22,2010,19,26.46,93.00540541,5.594594595,669.8108108
22-Jul-10,7,22,2010,10,26.46,93.93888889,5.501851852,669.8148148
