Position	Sample	Depth (m)	Project	Site	SRP ug/L	NO3 ug/L
1:41	21July2015 10m	10	Depth profile 1	Mahale	5.636	5.364
1:61	21July2015 50m	50	Depth profile 1	Mahale	37.397	109.146
1:38	21July2015 65m	65	Depth profile 1	Mahale	40.216	16.908
1:64	21July2015 100m	100	Depth profile 1	Mahale	44.57	7.904
1:62	21July2015 200m	200	Depth profile 1	Mahale	76.627	10.228
1:65	21July2015 800m	800	Depth profile 1	Mahale	83.994	6.478
1:34	25July2015 surface	1	Depth profile 2	Kigoma	1.572	1.111
1:39	25July2015 35m	35	Depth profile 2	Kigoma	2.777	6.692
1:67	25July2015 65m	65	Depth profile 2	Kigoma	40.083	98.577
1:36	25July2015 100m	100	Depth profile 2	Kigoma	72.68	10.517
1:66	25July2015 150m	150	Depth profile 2	Kigoma	75.691	17.069
1:40	25July2015 250m	250	Depth profile 2	Kigoma	103.64	13.883
1:37	25July2015 300m	300	Depth profile 2	Kigoma	123.783	12.954
1:35	25July2015 1200m	1200	Depth profile 2	Kigoma	112.264	22.012
