"Category","Taxa"
"C-S-01:Organic carbon oxidation","Cyanobacteria, Verrucomicrobia V3, Actinobacteria, Bacteroidetes, Chloroflexi, Deltaproteobacteria, Planctomycetes, Lentisphaerae, Ignavibacteria, Kirimatiellacea, Armatimonadetes, CP Ziwabacteria, Gammaproteobacteria, Thaumarchaeota, Alphaproteobacteria non LD12, CP BRC1, CP Saccharibacteria, Chlorobi, CP WOR-2 Omnitrophica, CP Eisenbacteria, Betaproteobacteria, CP Aminicemantes (OP8), CP WOR-3, Firmicutes, CP WWE1, Nitrospirae, CP Moranbacteria, CP Gottesmanbacteria, Fibrobacteres acidobacteria, CP Aenigmarchaeota, CP Nealsonbacteria, CP Bathyarchaeota, Calditrichaeota, CP Poribacteria, Euryarchaeota, Verrucomicrobia V2, Chlamydiae, CP TM6, Phycisphaerae, Acidobacteria, CP Handelsmanbacteria, CP Tectomicrobia, CP Tanganyikabacteria, CP Perigrinibacteria, CP Peribacteria, Gemmatimonadetes, Alphaproteobacteria LD12, Verrucomicrobia V4, CP Zixibacteria, Verrucomicrobia V6, CP Altiarchaeota, CP Pacearchaeota, CP Verstraetaerchaeota, CP Gribaldobacteria, Woesearchaeota, CP Rokubacteria, CP Staskawiczbacteria, Diapherotrites, CP Liptonbacteria, CP Kaiserbacteria, CP Hydrogenedentes, CP Parvarchaeota, Verrucomicrobia V1"
"C-S-02:Carbon fixation","Cyanobacteria, Chloroflexi, CP Pacearchaeota, Deltaproteobacteria, Actinobacteria, Bacteroidetes, Gammaproteobacteria, Planctomycetes, Thaumarchaeota, Armatimonadetes, Chlorobi, CP WOR-2 Omnitrophica, Betaproteobacteria, Firmicutes, Nitrospirae, CP Aenigmarchaeota, CP Eisenbacteria, Fibrobacteres acidobacteria, Euryarchaeota, Alphaproteobacteria non LD12, CP Handelsmanbacteria, CP Tectomicrobia, Alphaproteobacteria LD12, Gemmatimonadetes, Acidobacteria, CP Poribacteria, CP Altiarchaeota, Verrucomicrobia V3, CP Verstraetaerchaeota, CP Aminicemantes (OP8), Lentisphaerae, CP Rokubacteria, Woesearchaeota, CP Kaiserbacteria"
"C-S-04:Acetate oxidation","Cyanobacteria, Verrucomicrobia V3, Actinobacteria, Chloroflexi, Deltaproteobacteria, Planctomycetes, Lentisphaerae, Ignavibacteria, Bacteroidetes, CP Ziwabacteria, Thaumarchaeota, Alphaproteobacteria non LD12, Armatimonadetes, Chlorobi, Betaproteobacteria, CP WOR-3, Firmicutes, Nitrospirae, Fibrobacteres acidobacteria, CP Aenigmarchaeota, CP Nealsonbacteria, CP Eisenbacteria, Euryarchaeota, Gammaproteobacteria, Phycisphaerae, Acidobacteria, CP Handelsmanbacteria, CP Tectomicrobia, CP TM6, Gemmatimonadetes, Alphaproteobacteria LD12, CP Tanganyikabacteria, Verrucomicrobia V4, CP Zixibacteria, Verrucomicrobia V6, CP Poribacteria, CP Altiarchaeota, CP Pacearchaeota, CP Verstraetaerchaeota, CP Rokubacteria, Chlamydiae, Calditrichaeota, Woesearchaeota, Verrucomicrobia V1"
"C-S-05:Hydrogen generation","Planctomycetes, Deltaproteobacteria, Lentisphaerae, Ignavibacteria, Bacteroidetes, Armatimonadetes, Chloroflexi, Alphaproteobacteria non LD12, Actinobacteria, CP WOR-2 Omnitrophica, Betaproteobacteria, CP Aminicemantes (OP8), CP WOR-3, CP WWE1, Verrucomicrobia V3, Fibrobacteres acidobacteria, Euryarchaeota, Cyanobacteria, CP Altiarchaeota, CP Eisenbacteria, CP Verstraetaerchaeota, Verrucomicrobia V4, Gemmatimonadetes, Gammaproteobacteria, CP Poribacteria, Nitrospirae"
"C-S-06:Fermentation","Cyanobacteria, Verrucomicrobia V3, Actinobacteria, Bacteroidetes, Chloroflexi, Deltaproteobacteria, Planctomycetes, Lentisphaerae, Ignavibacteria, Kirimatiellacea, Armatimonadetes, CP Ziwabacteria, Gammaproteobacteria, Thaumarchaeota, Alphaproteobacteria non LD12, CP BRC1, Chlorobi, CP WOR-2 Omnitrophica, CP Eisenbacteria, Betaproteobacteria, CP Aminicemantes (OP8), CP WOR-3, Firmicutes, CP WWE1, Nitrospirae, CP Moranbacteria, Fibrobacteres acidobacteria, CP Aenigmarchaeota, CP Nealsonbacteria, CP Bathyarchaeota, Calditrichaeota, CP Poribacteria, Euryarchaeota, Chlamydiae, CP TM6, Phycisphaerae, Acidobacteria, CP Handelsmanbacteria, CP Tectomicrobia, CP Perigrinibacteria, CP Peribacteria, Gemmatimonadetes, Alphaproteobacteria LD12, CP Tanganyikabacteria, Verrucomicrobia V4, CP Zixibacteria, Verrucomicrobia V6, CP Altiarchaeota, CP Pacearchaeota, CP Verstraetaerchaeota, Woesearchaeota, CP Rokubacteria, Diapherotrites, CP Parvarchaeota, Verrucomicrobia V1"
"C-S-07:Methanogenesis","Euryarchaeota, CP Verstraetaerchaeota"
"C-S-08:Methanotrophy","Lentisphaerae, Alphaproteobacteria non LD12, Nitrospirae, Ignavibacteria, CP WOR-2 Omnitrophica, Cyanobacteria, Verrucomicrobia V3, Betaproteobacteria, Bacteroidetes, Planctomycetes, Actinobacteria, Deltaproteobacteria, CP Poribacteria, Chloroflexi, Armatimonadetes, Gammaproteobacteria, Woesearchaeota, Chlamydiae"
"C-S-09:Hydrogen oxidation","Chloroflexi, Deltaproteobacteria, Lentisphaerae, Ignavibacteria, Bacteroidetes, Armatimonadetes, CP Ziwabacteria, Alphaproteobacteria non LD12, Planctomycetes, Actinobacteria, Chlorobi, Betaproteobacteria, CP Aminicemantes (OP8), Verrucomicrobia V3, Nitrospirae, Fibrobacteres acidobacteria, Euryarchaeota, Cyanobacteria, CP Verstraetaerchaeota, Verrucomicrobia V4, Gemmatimonadetes, Gammaproteobacteria, CP Poribacteria"
"N-S-01:Nitrogen fixation","Deltaproteobacteria, Kirimatiellacea, Alphaproteobacteria non LD12, Chloroflexi, Chlorobi, Euryarchaeota, Gammaproteobacteria"
"N-S-02:Ammonia oxidation","Betaproteobacteria, Deltaproteobacteria, Nitrospirae"
"N-S-03:Nitrite oxidation","Chloroflexi, CP Ziwabacteria, Planctomycetes, Deltaproteobacteria, CP Eisenbacteria, Armatimonadetes, Verrucomicrobia V3, Fibrobacteres acidobacteria, Acidobacteria, CP Handelsmanbacteria, CP Tectomicrobia, Actinobacteria, Nitrospirae, Alphaproteobacteria non LD12, CP Rokubacteria, CP Poribacteria, CP Tanganyikabacteria, CP Hydrogenedentes, Bacteroidetes, Phycisphaerae"
"N-S-04:Nitrate reduction","Deltaproteobacteria, Ignavibacteria, Chloroflexi, CP Ziwabacteria, Gammaproteobacteria, Alphaproteobacteria non LD12, Planctomycetes, Betaproteobacteria, Verrucomicrobia V3, Bacteroidetes, Acidobacteria, Actinobacteria, Phycisphaerae, Nitrospirae, Gemmatimonadetes, CP Zixibacteria, Fibrobacteres acidobacteria, Calditrichaeota, CP Tanganyikabacteria, Woesearchaeota, CP Hydrogenedentes"
"N-S-05:Nitrite reduction","Chloroflexi, Deltaproteobacteria, CP Ziwabacteria, Gammaproteobacteria, Chlorobi, CP Eisenbacteria, Betaproteobacteria, Verrucomicrobia V3, Ignavibacteria, Alphaproteobacteria non LD12, Thaumarchaeota, Nitrospirae, Actinobacteria, Planctomycetes, CP Tanganyikabacteria"
"N-S-06:Nitric oxide reduction","Deltaproteobacteria, Gammaproteobacteria, Planctomycetes, Betaproteobacteria, Fibrobacteres acidobacteria, Acidobacteria, Chloroflexi, Bacteroidetes, CP Eisenbacteria, Armatimonadetes, Ignavibacteria, Verrucomicrobia V3, CP Tanganyikabacteria, Woesearchaeota"
"N-S-07:Nitrous oxide reduction","Bacteroidetes, Ignavibacteria, Deltaproteobacteria, CP Ziwabacteria, Betaproteobacteria, Acidobacteria, Thaumarchaeota, Gemmatimonadetes, Phycisphaerae, Armatimonadetes, Chloroflexi, Verrucomicrobia V3, Planctomycetes, CP Parvarchaeota"
"N-S-08:Nitrite ammonification","Verrucomicrobia V3, Deltaproteobacteria, Lentisphaerae, Ignavibacteria, Chloroflexi, Kirimatiellacea, Armatimonadetes, CP Ziwabacteria, Gammaproteobacteria, Planctomycetes, Alphaproteobacteria non LD12, CP BRC1, Actinobacteria, Betaproteobacteria, CP WOR-3, Bacteroidetes, Firmicutes, Nitrospirae, Fibrobacteres acidobacteria, CP Eisenbacteria, Calditrichaeota, Acidobacteria, CP Handelsmanbacteria, CP Tectomicrobia, Phycisphaerae, Verrucomicrobia V4, Gemmatimonadetes, CP Poribacteria, CP Aminicemantes (OP8), CP Tanganyikabacteria"
"N-S-09:Anammox","Planctomycetes"
