MAG,ManualTaxonomy,Domain,Phylum,Class,Order,Family,Genus,Species
K_Offshore_120m_m2_006,Acidobacteria,d__Bacteria,p__Acidobacteriota,c__Luteitaleia,o__Luteitaleales,f__UBA2999,g__,s__
K_DeepCast_65m_m1_022,Acidobacteria,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Solibacterales,f__Solibacteraceae,g__,s__
K_DeepCast_65m_m1_223,Acidobacteria,d__Bacteria,p__Acidobacteriota,c__Luteitaleia,o__Luteitaleales,f__,g__,s__
M_DeepCast_65m_m2_224,Acidobacteria,d__Bacteria,p__Acidobacteriota,c__Luteitaleia,o__Luteitaleales,f__UBA2999,g__12-FULL-67-14b,s__
K_Offshore_80m_m2_020,Acidobacteria,d__Bacteria,p__Acidobacteriota,c__Luteitaleia,o__Luteitaleales,f__UBA2999,g__,s__
K_Offshore_80m_m2_035,Acidobacteria,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodospirillales,f__,g__,s__
K_Offshore_80m_m2_092,Acidobacteria,d__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__,f__,g__,s__
K_Offshore_80m_m2_117,Acidobacteria,d__Bacteria,p__Acidobacteriota,c__Luteitaleia,o__Luteitaleales,f__UBA2999,g__,s__
M_surface_10_m1_251,Acidobacteria,d__Bacteria,p__Acidobacteriota,c__Luteitaleia,o__Luteitaleales,f__UBA2999,g__,s__
K_DeepCast_100m_m1_278,Actinobacteria,d__Bacteria,p__Actinobacteriota,c__UBA1414,o__UBA1414,f__,g__,s__
K_DeepCast_1200m_m2_005,Actinobacteria,d__Bacteria,p__Actinobacteriota,c__UBA1414,o__UBA1414,f__,g__,s__
K_DeepCast_1200m_m2_204,Actinobacteria,d__Bacteria,p__Actinobacteriota,c__UBA1414,o__UBA1414,f__UBA7938,g__,s__
K_DeepCast_150m_m1_051,Actinobacteria,d__Bacteria,p__Actinobacteriota,c__UBA1414,o__UBA1414,f__,g__,s__
K_DeepCast_150m_m2_097,Actinobacteria,d__Bacteria,p__Actinobacteriota,c__UBA1414,o__UBA1414,f__,g__,s__
K_DeepCast_150m_m2_294,Actinobacteria,d__Bacteria,p__Actinobacteriota,c__UBA1414,o__UBA1414,f__,g__,s__
K_DeepCast_35m_m1_047,Actinobacteria,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Nanopelagicales,f__,g__,s__
K_DeepCast_35m_m1_297,Actinobacteria,d__Bacteria,p__Actinobacteriota,c__Acidimicrobiia,o__,f__,g__,s__
M_DeepCast_400m_m1_127,Actinobacteria,d__Bacteria,p__Actinobacteriota,c__Thermoleophilia,o__,f__,g__,s__
M_DeepCast_400m_m2_130,Actinobacteria,d__Bacteria,p__Actinobacteriota,c__Acidimicrobiia,o__UBA5794,f__UBA11373,g__,s__
K_Offshore_40m_m2_012,Actinobacteria,d__Bacteria,p__Actinobacteriota,c__Thermoleophilia,o__,f__,g__,s__
K_Offshore_40m_m2_139,Actinobacteria,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Nanopelagicales,f__,g__,s__
M_DeepCast_50m_m2_189,Actinobacteria,d__Bacteria,p__Actinobacteriota,c__Acidimicrobiia,o__,f__,g__,s__
K_DeepCast_65m_m2_097,Actinobacteria,d__Bacteria,p__Actinobacteriota,c__Acidimicrobiia,o__,f__,g__,s__
K_DeepCast_65m_m2_213,Actinobacteria,d__Bacteria,p__Actinobacteriota,c__Thermoleophilia,o__Solirubrobacterales,f__,g__,s__
M_DeepCast_65m_m2_256,Actinobacteria,d__Bacteria,p__Actinobacteriota,c__Thermoleophilia,o__,f__,g__,s__
K_Offshore_80m_m2_056,Actinobacteria,d__Bacteria,p__Actinobacteriota,c__Acidimicrobiia,o__,f__,g__,s__
K_Offshore_80m_m2_094,Actinobacteria,d__Bacteria,p__Actinobacteriota,c__Thermoleophilia,o__,f__,g__,s__
K_Offshore_surface_m2_014,Actinobacteria,d__Bacteria,p__Actinobacteriota,c__Thermoleophilia,o__,f__,g__,s__
K_DeepCast_150m_m2_272,Actinobacteria,d__Bacteria,p__Actinobacteriota,c__Thermoleophilia,o__UBA2241,f__UBA2241,g__,s__
K_DeepCast_65m_m2_193,Actinobacteria,d__Bacteria,p__Chloroflexota,c__UBA2235,o__,f__,g__,s__
M_surface_7_m2_032,Actinobacteria,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Nanopelagicales,f__Nanopelagicaceae,g__Nanopelagicus,s__
K_Offshore_40m_m2_034,Actinobacteria,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Nanopelagicales,f__Nanopelagicaceae,g__Nanopelagicus,s__
K_DeepCast_65m_m2_221,Actinobacteria,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Nanopelagicales,f__Nanopelagicaceae,g__,s__
M_surface_9_m1_009,Actinobacteria,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Nanopelagicales,f__Nanopelagicaceae,g__,s__
M_surface_9_m1_017,Actinobacteria,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Nanopelagicales,f__Nanopelagicaceae,g__,s__
K_Offshore_0m_m1_007,Actinobacteria,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Nanopelagicales,f__Nanopelagicaceae,g__,s__
M_surface_9_m2_080,Actinobacteria,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Nanopelagicales,f__Nanopelagicaceae,g__,s__
M_surface_10_m2_076,Actinobacteria,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Nanopelagicales,f__Nanopelagicaceae,g__,s__
M_surface_10_m2_136,Actinobacteria,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Nanopelagicales,f__Nanopelagicaceae,g__MAG-120802,s__
K_DeepCast_1200m_m2_272,Actinobacteria,d__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Actinomycetales,f__Microbacteriaceae,g__Microbacterium,s__
K_Offshore_80m_m1_031,Actinobacteria,d__Bacteria,p__Actinobacteriota,c__Acidimicrobiia,o__Microtrichales,f__Ilumatobacteraceae,g__,s__
K_Offshore_120m_m1_195,Actinobacteria,d__Bacteria,p__Actinobacteriota,c__Acidimicrobiia,o__Microtrichales,f__Ilumatobacteraceae,g__,s__
