NCBIGenomeAccession	GenomeName
VGOD00000000	K_DeepCast_250m_m2_061
VGOE00000000	K_DeepCast_250m_m2_143
VGOF00000000	K_DeepCast_250m_m2_195
VGOG00000000	K_DeepCast_250m_m2_317
VGOH00000000	K_DeepCast_250m_mx_116
VGOM00000000	M_DeepCast_400m_m2_020
VGOO00000000	M_DeepCast_400m_m2_044
VGOP00000000	M_DeepCast_400m_m2_207
VGOQ00000000	M_DeepCast_400m_m2_252
VGOR00000000	M_DeepCast_400m_m2_269
VGOS00000000	M_DeepCast_400m_m2_351
VGOT00000000	M_DeepCast_50m_m1_244
VGOU00000000	M_DeepCast_50m_m2_054
VGOV00000000	K_DeepCast_65m_m2_193
VGOW00000000	M_DeepCast_65m_m1_226
VGOX00000000	M_DeepCast_65m_m2_156
VGOZ00000000	K_Offshore_80m_m1_189
VGPA00000000	K_Offshore_80m_m2_157
VGPB00000000	K_Offshore_80m_m2_170
VGPD00000000	K_Offshore_80m_m2_183
VGPE00000000	K_Offshore_80m_m2_197
VGPF00000000	K_Offshore_80m_m2_218
VGPG00000000	K_Offshore_surface_m1_220
VGPH00000000	K_DeepCast_150m_m2_105
VGPI00000000	K_DeepCast_250m_m1_043
VGPK00000000	M_DeepCast_400m_m2_266
VGPL00000000	K_DeepCast_250m_mx_298
VGPP00000000	M_surface_7_m2_037
VGPQ00000000	M_surface_7_m2_040
VGPR00000000	M_surface_9_m1_291
VGPT00000000	M_surface_10_m1_298
VGPU00000000	M_surface_10_m2_119
VGPW00000000	M_surface_10_m2_179
VGPX00000000	K_DeepCast_0m_m1_088
VGQA00000000	K_Offshore_0m_m2_072
VGQC00000000	M_DeepCast_100m_m1_067
VGQK00000000	K_DeepCast_150m_m2_101
VGQL00000000	M_DeepCast_200m_mx_001
VGQQ00000000	K_DeepCast_35m_m1_288
VGQR00000000	K_DeepCast_35m_m2_023
VGQS00000000	K_DeepCast_35m_m2_155
VGQW00000000	K_Offshore_surface_m2_011
VGQX00000000	K_Offshore_surface_m2_239
VGRA00000000	K_Offshore_0m_m1_055
VGRB00000000	K_DeepCast_100m_m1_326
VGRC00000000	K_DeepCast_100m_mx_210
VGRE00000000	K_Offshore_120m_m2_200
VGRF00000000	K_Offshore_120m_mx_162
VGRJ00000000	K_DeepCast_35m_m2_009
VGRK00000000	K_DeepCast_35m_m2_046
VGRM00000000	M_DeepCast_400m_m1_331
VGRO00000000	M_DeepCast_65m_m1_011
VGRQ00000000	M_DeepCast_65m_m2_104
VGRS00000000	K_Offshore_80m_m2_039
VGRU00000000	K_DeepCast_100m_m1_199
VGRV00000000	K_DeepCast_100m_m2_189
VGRW00000000	K_DeepCast_100m_m2_268
VGRX00000000	K_DeepCast_100m_m2_324
VGRY00000000	K_DeepCast_100m_mx_276
VGSA00000000	M_DeepCast_100m_m2_010
VGSD00000000	K_DeepCast_1200m_m2_207
VGSE00000000	K_Offshore_120m_m2_196
VGSF00000000	K_DeepCast_150m_m1_110
VGSG00000000	K_DeepCast_150m_m1_199
VGSH00000000	K_DeepCast_150m_m1_356
VGSJ00000000	K_DeepCast_150m_m2_098
VGSK00000000	K_DeepCast_150m_m2_113
VGSL00000000	K_DeepCast_150m_m2_257
VGSN00000000	M_DeepCast_200m_m2_133
VGSO00000000	K_DeepCast_250m_m1_077
VGSQ00000000	K_DeepCast_250m_m2_102
VGSS00000000	K_DeepCast_250m_m2_302
VGSW00000000	K_DeepCast_300m_m2_211
VGSX00000000	K_DeepCast_300m_m2_247
VGSZ00000000	K_DeepCast_35m_m1_088
VGTA00000000	K_DeepCast_35m_m1_177
VGTB00000000	M_DeepCast_400m_m1_009
VGTF00000000	K_DeepCast_65m_m1_217
VGTG00000000	K_DeepCast_65m_m2_035
VGTH00000000	K_Offshore_80m_m1_159
VGTI00000000	K_Offshore_80m_m2_119
VGTJ00000000	K_Offshore_80m_m2_194
VGTK00000000	K_Offshore_80m_m2_211
VGTL00000000	M_DeepCast_200m_m1_298
VGTM00000000	K_DeepCast_300m_m2_256
VGTN00000000	M_DeepCast_400m_m2_325
VGTO00000000	K_DeepCast_150m_m2_056
VGTQ00000000	M_surface_6_m2_085
VGTW00000000	M_surface_9_m2_068
VGTX00000000	M_surface_9_m2_177
VGUA00000000	M_surface_10_m2_141
VGUD00000000	K_Offshore_0m_mx_117
VGUG00000000	K_DeepCast_100m_m2_315
VGUH00000000	M_DeepCast_100m_m1_014
VGUJ00000000	M_DeepCast_100m_m2_072
VGUO00000000	K_Offshore_120m_m1_194
VGUP00000000	K_Offshore_120m_m2_034
VGUU00000000	K_DeepCast_35m_m1_077
VGUW00000000	K_Offshore_40m_m1_054
VGUX00000000	K_Offshore_40m_mx_227
VGUZ00000000	M_DeepCast_65m_m1_270
VGVA00000000	M_DeepCast_65m_m1_284
VGVB00000000	M_DeepCast_65m_mx_133
VGVE00000000	K_Offshore_80m_m1_177
VGVG00000000	K_Offshore_80m_m2_057
VGVH00000000	K_Offshore_80m_m2_176
VGVI00000000	K_Offshore_surface_m1_032
VGVK00000000	M_surface_7_m1_048
VGVM00000000	K_Offshore_120m_m2_038
VGVQ00000000	K_Offshore_80m_m1_181
VGVR00000000	K_Offshore_80m_m2_041
VGVS00000000	M_DeepCast_400m_m2_153
VGVT00000000	K_DeepCast_150m_m1_387
VGVU00000000	K_DeepCast_150m_m2_250
VGVV00000000	M_surface_10_mx_236
VGVW00000000	K_Offshore_0m_mx_139
