Sample	M_DeepCast_65m_m2_224	K_Offshore_80m_m2_082	K_DeepCast_65m_m1_022	K_Offshore_80m_m2_152	K_Offshore_120m_m2_006	K_Offshore_120m_m2_108	K_Offshore_80m_m2_094	K_DeepCast_65m_m2_193	K_Offshore_80m_m2_187	M_DeepCast_65m_mx_068	M_DeepCast_50m_m2_018	K_Offshore_80m_m2_183	K_Offshore_120m_m2_146	K_Offshore_80m_m2_170	K_Offshore_80m_m1_189	K_Offshore_120m_m2_037	K_DeepCast_65m_m2_033	K_Offshore_80m_m2_218	K_DeepCast_100m_m2_203	K_DeepCast_250m_m1_199	K_DeepCast_100m_m2_305	M_DeepCast_65m_m1_226	K_DeepCast_150m_m1_344	K_DeepCast_250m_m1_333	K_Offshore_80m_m1_122	K_DeepCast_65m_m1_133	M_DeepCast_65m_m2_204	M_DeepCast_50m_m1_133	M_DeepCast_50m_m1_244	M_DeepCast_65m_m2_071	K_DeepCast_100m_m2_001	K_DeepCast_100m_m2_321	K_Offshore_80m_m1_159	M_DeepCast_65m_m2_104	M_DeepCast_65m_m1_011	M_DeepCast_65m_m1_099	K_DeepCast_100m_mx_210	K_Offshore_80m_m2_102	K_Offshore_80m_m2_003	K_Offshore_80m_m2_040	M_DeepCast_65m_mx_150	K_Offshore_80m_m2_121	M_DeepCast_65m_m2_186	M_DeepCast_65m_m2_155	M_DeepCast_65m_mx_077	K_DeepCast_300m_m2_173	K_DeepCast_100m_mx_218	M_DeepCast_200m_m2_025	M_DeepCast_65m_m2_011	M_DeepCast_400m_m2_341	M_DeepCast_400m_m2_165	K_DeepCast_100m_m2_328	M_DeepCast_100m_m2_243	M_DeepCast_65m_m2_014	K_Offshore_80m_m1_165	K_Offshore_120m_m2_058	M_DeepCast_65m_m2_001	K_DeepCast_250m_mx_148	K_DeepCast_150m_m2_164	M_DeepCast_200m_mx_295
0	0.28	0.51	0.19	0.01	0.01	0	0.02	0.01	0.4	0.61	0.2	0.02	0.02	0.02	0.01	0	0	0	0	0	0	0	0	0	0.02	0	0	0.03	0	0	0	0	0.01	0.01	0	0	0	0.09	0.02	0.7	0.5	0.05	0.01	0.01	0	0.06	0	0	0	0	0	0	0	0	0.31	0.04	0.01	0	0	0
35	0.34	0.4	0.19	0.02	0.01	0	0.02	0.01	0.3	0.55	0.68	0.04	0.02	0.02	0.02	0.01	0.01	0.01	0	0	0	0	0	0	0.08	0.02	0	0.04	0.01	0	0	0	0.03	0.01	0	0	0	0.16	0.04	0.85	0.37	0.11	0.01	0.01	0	0.05	0	0	0	0	0	0	0	0	0.53	0.04	0.02	0	0	0
0	0.07	0.12	0.11	0	0	0	0.01	0	0.09	0.32	0.05	0.01	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03	0	0	0	0	0	0.01	0	0	0	0.03	0.01	0.39	0.31	0.02	0.01	0	0	0.05	0	0	0	0	0	0	0	0	0.11	0.03	0.01	0	0	0
40	0.22	0.2	0.13	0.01	0.01	0	0.02	0.01	0.12	0.49	0.18	0.02	0.01	0.02	0.01	0.01	0.01	0.01	0	0	0	0	0	0	0.01	0.01	0	0.04	0.01	0	0	0	0.01	0.01	0	0	0	0.05	0.01	0.84	0.38	0.07	0.01	0.01	0	0.05	0	0	0	0	0	0	0	0	0.23	0.04	0.02	0	0	0
0	0.12	0.11	0.13	0	0	0	0.01	0	0.09	0.42	0.13	0.01	0.01	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0.03	0	0	0	0	0	0.01	0	0	0	0.03	0.01	0.65	0.39	0.05	0.01	0.01	0	0.05	0.02	0	0	0	0	0	0	0	0.2	0.03	0.01	0	0	0
10	0.47	0.19	0.33	0.02	0.02	0.01	0.02	0.01	0.29	0.32	0.51	0.02	0.03	0.03	0.04	0.04	0.02	0.01	0	0	0	0	0	0	0.09	0.05	0	0.06	0.05	0	0	0	0.04	0.01	0.02	0	0	0.15	0.1	2.9	0.28	0.51	0.01	0.02	0.02	0.03	0.05	0	0	0	0	0	0	0	0.37	0.05	0.04	0	0	0
0	0.09	0.11	0.1	0	0	0	0.01	0	0.1	0.51	0.05	0.01	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0.01	0	0	0	0	0	0	0.03	0.01	0.55	0.36	0.05	0.01	0	0	0.04	0.04	0	0	0	0	0	0	0	0.07	0.03	0.01	0	0	0
0	0.11	0.05	0.06	0.01	0	0	0.01	0	0.06	0.43	0.08	0.01	0.01	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0.01	0	0.01	0	0	0	0	0	0	0.02	0.01	0.55	0.13	0.06	0.01	0	0	0.03	0.01	0	0	0	0	0	0	0	0.07	0.02	0.01	0	0	0
0	0.05	0.08	0.07	0	0.01	0.01	0.01	0	0.07	0.47	0.02	0.01	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0.02	0.01	0	0	0	0	0	0.02	0.01	0.22	0.26	0.02	0.01	0	0.01	0.03	0.01	0	0	0	0	0	0	0	0.05	0.04	0.01	0.01	0	0
0	0.15	0.17	0.17	0.01	0	0	0.01	0	0.18	0.5	0.13	0.01	0.02	0.01	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0.03	0	0	0	0	0	0	0	0	0	0.06	0.02	1.44	0.28	0.07	0.01	0	0.01	0.04	0	0	0	0	0	0	0	0	0.17	0.04	0.01	0	0	0
