Genome	Genome_completeness	Genome_contamination	Manual_Taxonomy	Taxonomy_GTDB-tk	TaxAss_combined	Match
K_Offshore_80m_m2_035	77.46	0.05	Acidobacteria	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__;g__;s__		
M_DeepCast_100m_m2_149	91.62	4.82	Acidobacteria	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Solibacterales;f__Solibacteraceae;g__;s__		
M_DeepCast_100m_mx_118	89.42	2.29	Acidobacteria	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Solibacterales;f__Solibacteraceae;g__;s__		
K_DeepCast_250m_m1_110	90.35	6.87	Acidobacteria	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Solibacterales;f__Solibacteraceae;g__;s__		
K_Offshore_40m_m2_176	98.26	0.87	Acidobacteria	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Solibacterales;f__Solibacteraceae;g__;s__		
M_DeepCast_50m_m2_162	73.23	2.25	Acidobacteria	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Solibacterales;f__Solibacteraceae;g__;s__		
K_Offshore_80m_m2_003	97.08	0.93	Acidobacteria	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Solibacterales;f__Solibacteraceae;g__;s__		
K_DeepCast_250m_m2_119	75.75	3.78	Acidobacteria	d__Bacteria;p__Acidobacteriota;c__;o__;f__;g__;s__	Bacteria(87); unclassified; unclassified; unclassified; unclassified; unclassified; unclassified	Yes but Taxass could only identify to Domain
K_Offshore_80m_m2_092	95.44	1.76	Acidobacteria	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__;f__;g__;s__	Bacteria(100); Acidobacteria(100); Subgroup_11(100); unclassified; unclassified; unclassified; unclassified	Yes
K_Offshore_80m_m2_102	96.52	2.78	Acidobacteria	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Solibacterales;f__Solibacteraceae;g__;s__	Bacteria(100); Acidobacteria(100); Acidobacteriia(100); Solibacterales(100); Solibacteraceae_(Subgroup_3)(100); Bryobacter(94); unclassified	Yes
K_DeepCast_65m_m1_022	99.12	3.51	Acidobacteria	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Solibacterales;f__Solibacteraceae;g__;s__	Bacteria(100); Acidobacteria(100); Acidobacteriia(100); Solibacterales(100); Solibacteraceae_(Subgroup_3)(100); Bryobacter(95); unclassified	Yes
M_DeepCast_100m_m2_066	97.81	7.65	Acidobacteria	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Solibacterales;f__Solibacteraceae;g__;s__	Bacteria(100); Acidobacteria(100); Acidobacteriia(100); Solibacterales(100); Solibacteraceae_(Subgroup_3)(100); Paludibaculum(100); unclassified	Yes
K_DeepCast_65m_m2_251	97.27	2.19	Acidobacteria	d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Solibacterales;f__Solibacteraceae;g__;s__	Bacteria(100); Acidobacteria(100); Acidobacteriia(100); Solibacterales(100); Solibacteraceae_(Subgroup_3)(100); Paludibaculum(100); unclassified	Yes
K_DeepCast_65m_m1_223	97.44	4.32	Acidobacteria	d__Bacteria;p__Acidobacteriota;c__Luteitaleia;o__Luteitaleales;f__;g__;s__	Bacteria(100); Acidobacteria(100); Subgroup_6(100); unclassified; unclassified; unclassified; unclassified	Yes
