MAG	Taxonomy	Domain	Completeness_checkm	Contamination_checkm	Completeness_DasTool	Contamination_DasTool	Numer of genomoes in dRep cluster	fccB	sulfide_quinone_oxidoreductase_sqr
K_Offshore_80m_m2_035	Acidobacteria	Bacteria	77.46	0.05	74.51	0.00	3	1	1
M_DeepCast_400m_m2_130	Actinobacteria	Bacteria	93.16	5.98	100.00	7.84	6		1
K_DeepCast_1200m_m2_272	Actinobacteria acIII	Bacteria	91.81	2.62	98.04	9.80	1		1
K_DeepCast_65m_m1_262	Alphaproteobacteria	Bacteria	69.53	8.50	68.63	5.88	1	1	1
K_Offshore_80m_m2_101	Alphaproteobacteria	Bacteria	94.22	1.06	98.04	5.88	1		1
K_DeepCast_35m_m1_317	Alphaproteobacteria	Bacteria	66.97	8.08	72.55	5.88	1	2	1
M_DeepCast_65m_m2_243	Alphaproteobacteria	Bacteria	90.09	7.43	98.04	7.89	1	1	1
K_Offshore_80m_m2_119	Deltaproteobacteria	Bacteria	90.48	1.68	96.08	1.96	2		1
M_DeepCast_400m_m2_041	Alphaproteobacteria	Bacteria	83.40	23.37	88.24	21.57	1		1
K_Offshore_80m_m1_082	Alphaproteobacteria	Bacteria	21.89	0.00	54.90	0.00	1		1
M_DeepCast_65m_mx_036	Alphaproteobacteria	Bacteria	96.99	2.85	100.00	0.00	3		1
M_DeepCast_65m_m1_022	Alphaproteobacteria	Bacteria	93.83	3.64	98.04	0.00	3		1
M_DeepCast_65m_m1_019	Alphaproteobacteria	Bacteria	89.77	1.11	100.00	0.00	2		1
K_DeepCast_100m_mx_141	Alphaproteobacteria	Bacteria	94.86	7.90	100.00	3.92	1		1
M_DeepCast_65m_m2_041	Alphaproteobacteria	Bacteria	98.89	6.65	100.00	1.96	4	1	1
M_DeepCast_200m_mx_060	Alphaproteobacteria	Bacteria	76.69	6.18	80.39	2.63	1		1
K_DeepCast_65m_m2_082	Alphaproteobacteria	Bacteria	90.91	27.56	96.08	29.41	1		1
M_DeepCast_200m_mx_050	Alphaproteobacteria	Bacteria	95.29	18.84	98.04	21.57	1		1
M_DeepCast_65m_m2_266	Alphaproteobacteria	Bacteria	98.63	1.51	98.04	0.00	4	1	2
M_DeepCast_65m_mx_068	Bacteroidetes	Bacteria	94.01	0.49	90.20	0.00	2		1
