NCBI Genome Submission ID	NCBI BioSample Submission ID	Genome (MAG Identifier)	TaxAss-kingdom	TaxAss-phylum	TaxAss-class	TaxAss-order	TaxAss-lineage	TaxAss-clade	TaxAss-tribe	Congruent Taxonomy	Candidate phyla	DPANN	Domain	Number of MAG in cluster dRep	Completeness DasTool	Contamination DasTool	Taxonomy GTDB-Tk	Taxonomy NCBI	Strain name	Genome completeness CheckM	Genome contamination CheckM	Strain heterogeneity CheckM	16S rRNA phylogeny CheckM	Number of ambiguous bases	Number of contigs	Number of  predicted genes	Number of scaffolds	Coding density	GC	GC std	Genome size (bp)	Longest contig	Longest scaffold	Mean contig length	Mean scaffold length	N50 (contigs)	N50 (scaffolds)	Translation table	tRNAs decoding Standard 20 AA	Selenocysteine tRNAs	Possible suppressor tRNAs	tRNAs with undetermined/unknown isotypes	Predicted pseudogenes	Total tRNAs
VGJA00000000	SAMN10966491	M_DeepCast_200m_m2_220	Archaea(100)	Altiarchaeota(99)	Altiarchaeia(99)	unclassified	unclassified	unclassified	unclassified	CP Altiarchaeota	X	X	Archaea	3	89.47	13.16	d__Archaea;p__Altiarchaeota;c__Altiarchaeia;o__SCGC-AAA252-I15;f__;g__;s__	d__Archaea;p__;c__;o__;f__;g__;s__	Archaea archaeon M_DeepCast_200m_m2_220 [Domain]	81.82	2.8	0	Archaea;Altiarchaeales;uncultured archaeon	0	215	1402	215	0.910	0.46	0	1152678	22076	22076	5361	5361	6758	6758	11	25	0	0	0	0	25
VFYZ00000000	SAMN10966229	K_Offshore_120m_m2_108	Bacteria(100)	Acidobacteria(100)	Subgroup_6(100)	unclassified	unclassified	unclassified	unclassified	Acidobacteria			Bacteria	1	64.71	9.8	d__Bacteria;p__Acidobacteriota;c__Luteitaleia;o__Luteitaleales;f__UBA2999;g__2-12-FULL-68-19;s__	d__Bacteria;p__Acidobacteriota;c__;o__;f__;g__;s__	Acidobacteriota bacterium K_Offshore_120m_m2_108 [Phylum]	77.95	11.66	25	Bacteria;Acidobacteria;Subgroup 6;uncultured Acidobacteria bacterium	0	1035	5549	1035	0.921	0.70	0	5290205	29572	29572	5111	5111	6291	6291	11	36	0	1	0	2	39
VFZA00000000	SAMN10966230	K_Offshore_120m_m2_155								Acidobacteria			Bacteria	2	76.47	15.69	d__Bacteria;p__Myxococcota;c__UBA4248;o__;f__;g__;s__	d__Bacteria;p__;c__;o__;f__;g__;s__	Bacteria bacterium K_Offshore_120m_m2_155 [Domain]	75.39	11.64	3.33		0	1487	4860	1487	0.937	0.69	0	4571676	18112	18112	3074	3074	3325	3325	11	41	0	0	1	1	43
VFZB00000000	SAMN10966231	K_DeepCast_150m_m1_111								Acidobacteria			Bacteria	1	58.82	0	d__Bacteria;p__Acidobacteriota;c__;o__;f__;g__;s__	d__Bacteria;p__Acidobacteriota;c__;o__;f__;g__;s__	Acidobacteriota bacterium K_DeepCast_150m_m1_111 [Phylum]	33.75	2.52	0		0	1151	3203	1151	0.891	0.67	0	2729021	46277	46277	2371	2371	2196	2196	11	9	0	0	3	0	12
VGPL00000000	SAMN10966659	K_DeepCast_250m_mx_298	Archaea(100)	Altiarchaeota(99)	Altiarchaeia(99)	unclassified	unclassified	unclassified	unclassified	CP Bathyarchaeota	X		Archaea	2	65.79	5.26	d__Archaea;p__Crenarchaeota;c__Bathyarchaeia;o__B26-1;f__UBA233;g__;s__	d__Archaea;p__Crenarchaeota;c__;o__;f__;g__;s__	Crenarchaeota archaeon K_DeepCast_250m_mx_298 [Phylum]	55.9	1.87	0	Archaea;Altiarchaeales;uncultured archaeon	0	612	1599	612	0.878	0.46	0	1073225	6651	6651	1754	1754	1849	1849	11	24	0	0	1	0	25
VGKX00000000	SAMN10966540	M_DeepCast_65m_mx_140	Archaea(100)	Diapherotrites(96)	Micrarchaeia(96)	unclassified	unclassified	unclassified	unclassified	CP Parvarchaeota	X	X	Archaea	2	97.37	3.92	d__Archaea;p__Micrarchaeota;c__Micrarchaeia;o__UBA10214;f__;g__;s__	d__Archaea;p__Micrarchaeota;c__;o__;f__;g__;s__	Micrarchaeota archaeon M_DeepCast_65m_mx_140 [Phylum]	91.82	3.81	0	Archaea;Miscellaneous Euryarchaeotic Group(MEG);uncultured archaeon	0	255	1403	255	0.890	0.48	0	1247274	24628	24628	4891	4891	6816	6816	11	43	0	0	0	3	46
VGLU00000000	SAMN10966563	M_DeepCast_400m_m2_128	Archaea(100)	Crenarchaeota(100)	Verstraetearchaeia(100)	Methanomethyliales(100)	Methanomethyliaceae(100)	Candidatus_Methanomethylicus(100)	unclassified	CP Verstraetaerchaeota	X		Archaea	5	100	2.63	d__Archaea;p__Crenarchaeota;c__Methanomethylicia;o__Methanomethyliales;f__Methanomethyliaceae;g__;s__	d__Archaea;p__Crenarchaeota;c__Methanomethylicia;o__Methanomethyliales;f__Methanomethyliaceae;g__;s__	Methanomethyliaceae archaeon M_DeepCast_400m_m2_128 [Family]	99.07	1.4	0	Archaea;Candidate division YNPFFA;uncultured archaeon	0	41	1685	41	0.893	0.54	0	1451440	226297	226297	35401	35401	60301	60301	11	48	0	0	3	0	51
VGJJ00000000	SAMN10966500	M_DeepCast_50m_m2_156	Archaea(100)	Diapherotrites(100)	Iainarchaeia(100)	Iainarchaeales(100)	unclassified	unclassified	unclassified	Diapherotrites		X	Archaea	2	94.74	7.89	d__Archaea;p__Micrarchaeota;c__Iainarchaeia;o__;f__;g__;s__	d__Archaea;p__Micrarchaeota;c__;o__;f__;g__;s__	Micrarchaeota archaeon M_DeepCast_50m_m2_156 [Phylum]	82.4	0.93	0	Archaea;Diapherotrites;Diapherotrites Incertae Sedis;Unknown Order;Unknown Family;Candidatus Iainarchaeum;Diapherotrites archaeon SCGC AAA011-N19	0	62	952	62	0.916	0.45	0	876058	70254	70254	14130	14130	20123	20123	11	43	0	0	0	0	43
VGTL00000000	SAMN10966763	M_DeepCast_200m_m1_298	Archaea(100)	Euryarchaeota(100)	Thermoplasmata(100)	unclassified	unclassified	unclassified	unclassified	Euryarchaeota			Archaea	7	100	5.26	d__Archaea;p__Thermoplasmatota;c__;o__;f__;g__;s__	d__Archaea;p__;c__;o__;f__;g__;s__	Archaea archaeon M_DeepCast_200m_m1_298 [Domain]	98.27	2	0	Archaea;Euryarchaeota;Thermoplasmata;Thermoplasmatales;Terrestrial Miscellaneous Gp(TMEG);uncultured archaeon	0	189	2638	189	0.892	0.66	0	3360796	95190	95190	17782	17782	29537	29537	11	47	0	0	0	2	49
VFZJ00000000	SAMN10966239	K_Offshore_80m_m2_082								Acidobacteria			Bacteria	1	47.06	3.92	d__Bacteria;p__Acidobacteriota;c__Luteitaleia;o__Luteitaleales;f__UBA2999;g__12-FULL-67-14b;s__	d__Bacteria;p__Acidobacteriota;c__;o__;f__;g__;s__	Acidobacteriota bacterium K_Offshore_80m_m2_082 [Phylum]	40.6	0.85	0		0	769	2486	769	0.933	0.69	0	2039043	11643	11643	2652	2652	2719	2719	11	13	0	1	0	0	14
VGTM00000000	SAMN10966764	K_DeepCast_300m_m2_256	Archaea(100)	Euryarchaeota(100)	Methanobacteria(100)	Methanobacteriales(100)	Methanobacteriaceae(100)	Methanobacterium(100)	unclassified	Euryarchaeota			Archaea	5	100	1.96	d__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__;s__	d__Archaea;p__;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__;s__	Methanobacteriaceae archaeon K_DeepCast_300m_m2_256 [Family]	99.33	0	0		0	203	2313	203	0.832	0.35	0	2059370	67770	67770	10145	10145	15826	15826	11	34	0	0	1	0	35
VHBH00000000	SAMN10966968	K_DeepCast_100m_mx_034	Archaea(100)	Thaumarchaeota(100)	Nitrososphaeria(100)	Nitrosopumilales(100)	Nitrosopumilaceae(100)	Candidatus_Nitrosotenuis(100)	unclassified	Thaumarchaeota			Archaea	24	97.37	0	d__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosotenuis;s__	d__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__Nitrosotenuis;s__	Nitrosotenuis sp. K_DeepCast_100m_mx_034 [Genus]	98.71	1.94	0	Archaea;Thaumarchaeota;Marine Group I;Candidatus Nitrosotenuis sp. AQ6f	0	32	1450	32	0.900	0.41	0	1235755	357259	357259	38617	38617	172085	172085	11	44	0	0	0	1	45
VFZM00000000	SAMN10966242	K_Offshore_80m_m2_152	Bacteria(100)	Acidobacteria(100)	Subgroup_6(100)	unclassified	unclassified	unclassified	unclassified	Acidobacteria			Bacteria	2	100	5.88	d__Bacteria;p__Acidobacteriota;c__Luteitaleia;o__Luteitaleales;f__UBA2999;g__;s__	d__Bacteria;p__Acidobacteriota;c__;o__;f__;g__;s__	Acidobacteriota bacterium K_Offshore_80m_m2_152 [Phylum]	97.15	11.11	7.14	Bacteria;Acidobacteria;Subgroup 6;uncultured bacterium	0	181	5571	181	0.892	0.66	0	6303403	207223	207223	34825	34825	58062	58062	11	55	0	1	0	1	57
VHBL00000000	SAMN10966972	K_DeepCast_65m_m2_187	Archaea(100)	Thaumarchaeota(100)	unclassified	unclassified	unclassified	unclassified	unclassified	Thaumarchaeota			Archaea	6	100	1.96	d__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrososphaerales;f__;g__;s__	d__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrososphaerales;f__;g__;s__	Nitrososphaerales archaeon K_DeepCast_65m_m2_187 [Order]	98.06	1.94	0	Archaea;Thaumarchaeota;AK56;uncultured archaeon	0	11	1732	11	0.906	0.45	0	1546437	1011907	1011907	140585	140585	1011907	1011907	11	40	0	0	3	3	46
VGAD00000000	SAMN10966259	M_surface_8_mx_219	Bacteria(100)	Bacteroidetes(100)	Bacteroidia(100)	Cytophagales(100)	Microscillaceae(100)	unclassified	unclassified	Actinobacteria			Bacteria	16	86.27	7.84	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Nanopelagicales;f__Nanopelagicaceae;g__;s__	d__Bacteria;p__;c__Actinobacteria;o__Nanopelagicales;f__;g__;s__	Nanopelagicales bacterium M_surface_8_mx_219 [Order]	64.78	42.16	17.46	Bacteria;Chlamydiae;Chlamydiae;Chlamydiales;Simkaniaceae;Simkania;Simkania negevensis Z	0	1531	6989	1531	0.908	0.45	0	5584131	119344	119344	3647	3647	5553	5553	11	245	0	0	2	5	252
VGAM00000000	SAMN10966269	K_DeepCast_100m_m1_216								Actinobacteria			Bacteria	1	47.06	1.96	d__Bacteria;p__Actinobacteriota;c__UBA1414;o__UBA1414;f__;g__;s__	d__Bacteria;p__;c__;o__;f__;g__;s__	Bacteria bacterium K_DeepCast_100m_m1_216 [Domain]	22.06	0.18	0		0	184	530	184	0.896	0.38	0	382480	5009	5009	2079	2079	2026	2026	11	3	0	0	0	0	3
VHBN00000000	SAMN10966974	K_Offshore_80m_m2_203	Archaea(98)	Thaumarchaeota(97)	Nitrososphaeria(97)	Nitrosopumilales(91)	Nitrosopumilaceae(91)	unclassified	unclassified	Thaumarchaeota			Archaea	10	52.63	2.63	d__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__;s__	d__Archaea;p__Crenarchaeota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosopumilaceae;g__;s__	Nitrosopumilaceae archaeon K_Offshore_80m_m2_203 [Family]	50.19	1.94	100		0	49	854	49	0.917	0.37	0	660113	90271	90271	13472	13472	27707	27707	11	27	0	0	1	1	29
VGAO00000000	SAMN10966271	K_DeepCast_100m_m2_081								Actinobacteria			Bacteria	5	56.86	0	d__Bacteria;p__Actinobacteriota;c__UBA1414;o__UBA1414;f__;g__;s__	d__Bacteria;p__;c__;o__;f__;g__;s__	Bacteria bacterium K_DeepCast_100m_m2_081 [Domain]	38.44	0	0		0	533	1656	533	0.848	0.37	0	1366387	11416	11416	2564	2564	2589	2589	11	18	0	0	0	0	18
VGLZ00000000	SAMN10966569	M_DeepCast_65m_m2_091	Bacteria(100)	Proteobacteria(100)	Gammaproteobacteria(100)	unclassified	unclassified	unclassified	unclassified	Woesearchaeota		X	Archaea	1	49.02	3.92	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Methylococcales;f__Methylococcaceae;g__;s__	d__Bacteria;p__;c__Gammaproteobacteria;o__Methylococcales;f__;g__;s__	Methylococcales bacterium M_DeepCast_65m_m2_091 [Order]	62.66	3.26	26.09	Bacteria;Proteobacteria;Gammaproteobacteria;Methylococcales;Methylococcaceae;Methyloparacoccus;uncultured bacterium	0	677	2289	677	0.918	0.56	0	2075133	23603	23603	3065	3065	3284	3284	11	27	0	0	2	2	31
VGIZ00000000	SAMN10966490	K_DeepCast_250m_m1_172								CP Aenigmarchaeota	X	X	Archaea	4	86.84	13.16	d__Archaea;p__Nanoarchaeota;c__Aenigmarchaeia;o__;f__;g__;s__	d__Archaea;p__Nanoarchaeota;c__;o__;f__;g__;s__	Nanoarchaeota archaeon K_DeepCast_250m_m1_172 [Phylum]	76.07	4.05	40		0	156	983	156	0.894	0.55	0	772247	23718	23718	4950	4950	6209	6209	11	25	0	0	3	6	34
VGJH00000000	SAMN10966498	K_DeepCast_250m_m2_015								CP Bathyarchaeota	X		Archaea	4	89.47	13.16	d__Archaea;p__Crenarchaeota;c__Bathyarchaeia;o__TCS64;f__TCS64;g__;s__	d__Archaea;p__Crenarchaeota;c__;o__;f__;g__;s__	Crenarchaeota archaeon K_DeepCast_250m_m2_015 [Phylum]	83.96	3.27	0		0	350	1992	350	0.897	0.36	0	1615704	20801	20801	4616	4616	5782	5782	11	35	0	0	0	0	35
VGAY00000000	SAMN10966281	K_DeepCast_150m_m1_088	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	unclassified	Actinobacteria			Bacteria	5	86.27	9.8	d__Bacteria;p__Actinobacteriota;c__UBA1414;o__UBA1414;f__;g__;s__	d__Bacteria;p__;c__;o__;f__;g__;s__	Bacteria bacterium K_DeepCast_150m_m1_088 [Domain]	85.64	12.98	47.06		0	805	3672	805	0.842	0.33	0	3234887	29490	29490	4018	4018	5068	5068	11	53	0	0	0	0	53
VGKP00000000	SAMN10966532	K_Offshore_120m_m2_023								CP Pacearchaeota	X	X	Archaea	4	81.58	2.63	d__Archaea;p__Nanoarchaeota;c__Woesearchaeia;o__Pacearchaeales;f__UBA73;g__;s__	d__Archaea;p__Nanoarchaeota;c__;o__;f__;g__;s__	Nanoarchaeota archaeon K_Offshore_120m_m2_023 [Phylum]	65.19	0	0	Archaea;Woesearchaeota (DHVEG-6);uncultured euryarchaeote	0	31	975	31	0.887	0.39	0	805708	118453	118453	25991	25991	44665	44665	11	42	0	0	0	0	42
VGKT00000000	SAMN10966536	K_Offshore_80m_m2_097								CP Pacearchaeota	X	X	Archaea	3	81.58	0	d__Archaea;p__Nanoarchaeota;c__Woesearchaeia;o__Pacearchaeales;f__UBA73;g__;s__	d__Archaea;p__Nanoarchaeota;c__;o__;f__;g__;s__	Nanoarchaeota archaeon K_Offshore_80m_m2_097 [Phylum]	63.24	0	0	Archaea;Woesearchaeota (DHVEG-6);uncultured euryarchaeote	0	13	685	13	0.897	0.39	0	593061	211427	211427	45620	45620	89860	89860	11	41	0	0	0	0	41
