MAG	Taxonomy	Domain	Completeness_checkm	Contamination_checkm	Completeness_DasTool	Contamination_DasTool	Numer of genomoes in dRep cluster	fccB	sulfide_quinone_oxidoreductase_sqr	sulfur_dioxygenase_sdo	aprA	sat	cysC	cysN	thiosulfate_reductase_phsA	dsrA	dsrB	dsrC	dsrD	dsrE	dsrF	dsrH	dsrJ	dsrK	dsrM	dsrO	dsrP	dsrR	dsrS	dsrT	soxA	soxB	soxD	soxX	soxY	soxYZ-like	soxZ	FeFeHydrogenase	FeFeHydrogenase_2	Hydrogenase_Group_1	Hydrogenase_Group_2a	Hydrogenase_Group_2b	Hydrogenase_Group_3b	Hydrogenase_Group_3c	Hydrogenase_Group_3d	Hydrogenase_Group_4	pmoA	pmoB	pmoC	mmoB	mmoD	mcrA	mcrB	mcrC	amoA	Archeael_amoB	Archeael_amoC	nifA_Mo	nifB_Mo	nifH	nitrite_oxidoreductase_nxrA	nitrite_oxidoreductase_nxrB	napA	napB	narG	narH	nrfH	nrfA	nirB	nirD	nirK	nitrite_reductase_nirS	nitric_oxide_reductase_norB	nitric_oxide_reductase_norC	nosD	nosZ	hydrazine_oxidase_hzoA	hydrazine_synthase_hzsA	octR	ureA	ureB	ureC	coxA	coxB	ccoN	ccoO	ccoP	cyoA	cyoD	cyoE	cydA	cydB	qoxA	ndma_methanol_dehydrogenase	madA	madB	fdh_thiol_id	sfh	sgdh	smdh	fae	fmtf	mtmc	fdhA	fdhB	fdhC	carbon_monoxide_dehydrogenase_coxL	carbon_monoxide_dehydrogenase_coxM	carbon_monoxide_dehydrogenase_coxS	rubisco_form_I	rubisco_form_II	rubisco_form_II_III	rubisco_form_III	rubisco_form_IV	Four-hydroxybutyryl-CoA-dehydratase	Four-hydroxybutyryl-CoA-synthetase	codhC	codhD	codh_catalytic	acetate_citrate_lyase_aclA	acetate_citrate_lyase_aclB	hdh	rdh	cld	ars_ox	ars_ox_2	arsC	ars_thioredoxin	ars_glutaredoxin	ygfK	ygfM	sel_mo	nthA	nthB	mtrA	mtrC
K_DeepCast_65m_m1_022	Acidobacteria	Bacteria	99.12	3.51	100	5.26	7			2			1	1																			2																												1	1					1	1	1	1				1						1	1	1	1	1			6			1															1	1	1	2	2					1		3						1		1				1							1	
K_DeepCast_65m_m1_223	Acidobacteria	Bacteria	97.44	4.32	98.04	1.96	13					1																																																			1	1			1	1							1	1							1	1		1	1			1																			1					1																						1
M_surface_10_m1_251	Acidobacteria	Bacteria	95.67	4.27	98.04	1.96	22						1	1																			1																																			1															1	1	1	1	1			1																																						1								
K_Offshore_80m_m2_020	Acidobacteria	Bacteria	95.44	3.42	98.04	3.92	2			1			1	1																				1																																								1																1																	1		1					1		1								1												1
K_Offshore_80m_m2_092	Acidobacteria	Bacteria	95.44	1.76	98.04	1.96	4			1				1																			1																																1	1		1																1			1			1							1							1	1	2	2	2	1							2																				
K_Offshore_120m_m2_006	Acidobacteria	Bacteria	90.51	3.85	90.2	9.8	2							1																			1																												1	1																					2	1			2			1											1	1	1	1			2	5	3													1		1			1									
K_Offshore_80m_m2_035	Acidobacteria	Bacteria	77.46	0.05	74.51	0	3	1	1		2	3	1		1	1	1	2		1	1	1	1	1	1	1	1				1	1	1	1			1																																														1	1	1	1	1			1														1		1	1	1		1				1		1						3			1	1										
K_Offshore_80m_m2_152	Acidobacteria	Bacteria	97.15	11.11	100	5.88	2			1				1																			4	1																											1	1						1	1	1				1						2	2	2	1	2			5			1														1			2	2	2						1	2						1					1									2
K_Offshore_120m_m2_108	Acidobacteria	Bacteria	77.95	11.66	64.71	9.8	1			2				2																			4							1																					2	1							1	1													1	1			2			1											1	1	1		1	1	3	6	5						1	1						2		2										1		1
K_Offshore_80m_m2_117	Acidobacteria	Bacteria	95.44	5.13	98.04	3.92	2			1				1																			3																																			1															1	1			3			1															1	1	2		2							1						1											1	1		
K_Offshore_120m_m2_155	Acidobacteria	Bacteria	75.39	11.64	76.47	15.69	2			1																																																																										1						1																	1		1					1																						
M_DeepCast_65m_m2_224	Acidobacteria	Bacteria	94.87	5.98	100	3.92	14						1	1																			2																												1	1																						1			3			1														1			1	2	2																											
K_Offshore_80m_m2_082	Acidobacteria	Bacteria	40.6	0.85	47.06	3.92	1						1	1																																															1	1		1												1							1	1			1																						1																											
K_DeepCast_150m_m1_111	Acidobacteria	Bacteria	33.75	2.52	58.82	0	1								1																																														1				1	1																								1	1																									1																				
K_DeepCast_65m_m2_097	Actinobacteria	Bacteria	98.29	2.14	100	0	6			1			1	1				1																																																																	1	1						1	1	1								1	1						1		1					1		1								1			1									
M_DeepCast_50m_m2_189	Actinobacteria	Bacteria	97.44	2.99	100	1.96	7			1			1	1																																																																					1	1						1	1									1							2		2							1						1		1			1									
K_Offshore_surface_m2_014	Actinobacteria	Bacteria	97.41	0	100	0	16							1																																																																					1	1						1																								1										1												
K_DeepCast_150m_m2_097	Actinobacteria	Bacteria	96.82	2.88	98.04	1.96	8			1																																	1																																																													1										1		2			1									2								
K_DeepCast_35m_m1_297	Actinobacteria	Bacteria	96.58	2.14	100	5.88	11			2			1	1																																																																					1	1						1	1																3		2															1			1									
K_Offshore_80m_m2_056	Actinobacteria	Bacteria	95.73	2.33	100	3.92	5			2			2	1																																																									1												1	1						1	1															1	4		2					1										1			1									
K_DeepCast_65m_m2_213	Actinobacteria	Bacteria	93.97	1.87	100	1.96	5					1	1																																																																						1	1			1			1	2													1																		1		1												
K_Offshore_40m_m2_012	Actinobacteria	Bacteria	93.97	0.72	98.04	5.88	23							1																																																																		1	1	1	1	1						1	1										1			1		1	3	1	3															1									1	1		
K_DeepCast_1200m_m2_204	Actinobacteria	Bacteria	89.01	4.73	90.2	7.89	2																																				1																																																													1										1			1	1	1																	
K_DeepCast_35m_m1_047	Actinobacteria	Bacteria	86	0.54	100	1.96	12						1	1																																																																					1	1						1																																														
K_Offshore_80m_m2_094	Actinobacteria	Bacteria	84.24	3.62	78.43	1.96	3			1			1	1																																															1	1																		1	1	1		1			1			1																1	5	1	6					1	1	2								1									1	1		
K_DeepCast_65m_m2_193	Actinobacteria	Bacteria	81.16	2.09	52.94	3.92	2				1	1	1																																																1	1																					1	1						1														1			1	1	1															1												
M_DeepCast_65m_m2_256	Actinobacteria	Bacteria	77.39	0.09	94.12	3.92	3																																																										1	1																		1																														1										1												
K_DeepCast_150m_m2_272	Actinobacteria	Bacteria	62.95	2.1	72.55	7.89	2																																					1																																																										1						1							2	1			1																	
K_DeepCast_100m_m1_278	Actinobacteria	Bacteria	70.3	8.48	80.39	11.76	1			1																																		1	1																																																																					1		4	1	1	2																	
K_DeepCast_150m_m1_051	Actinobacteria	Bacteria	68.39	5.56	62.75	5.88	4			1																												2					1	1																																														1																			1					2		2	2	2	6											1						
M_DeepCast_400m_m1_127	Actinobacteria	Bacteria	60.11	0.5	62.75	5.88	1																																																																																																																																	
M_DeepCast_200m_m1_155	Actinobacteria	Bacteria	94.83	68.89	90.2	35.29	1			1		1																												1			1	1	1																																																											3			1	1	1					2		6	2	2	3																	
K_Offshore_40m_m2_139	Actinobacteria	Bacteria	58.76	0.26	68.63	3.92	1																																																																													1																														1																						
K_DeepCast_150m_m2_294	Actinobacteria	Bacteria	87.27	9.33	98.04	7.84	1			1																														1			1																																																																							1		2	1	1	1									1								
M_DeepCast_400m_m2_130	Actinobacteria	Bacteria	93.16	5.98	100	7.84	6		1			1	1					1																									1	1																							1	1																							1	1												1				2	1						2		1	1	1											1						
K_DeepCast_1200m_m2_005	Actinobacteria	Bacteria	67.04	6.99	86.27	15.69	1					1																												1			1																																																													1					1						2	2	1		1																	
K_DeepCast_100m_m2_081	Actinobacteria	Bacteria	38.44	0	56.86	0	1									1	1																										1																																																																								1	3	1	1																		
K_DeepCast_100m_m1_216	Actinobacteria	Bacteria	22.06	0.18	47.06	1.96	1																																																																																																	1										1			1																			
K_DeepCast_300m_m1_095	Actinobacteria	Bacteria	26.9	1.82	47.06	2.63	1																																																																																																											1	1	2																				
K_DeepCast_150m_m1_088	Actinobacteria	Bacteria	85.64	12.98	86.27	9.8	1					1																												1			1	2	1																																																											2										1	1	4	1	1	1									1								
M_DeepCast_200m_mx_161	Actinobacteria	Bacteria	34.08	3.37	60.78	11.76	1																																				1																																																																								1																					
K_DeepCast_250m_m1_088	Actinobacteria	Bacteria	66.22	27.77	86.27	35.29	1					1																												2			2																																																													1				1							1	2	1	1	1																	
M_surface_8_mx_219	Actinobacteria	Bacteria	64.78	42.16	86.27	7.84	1					1	2	1																																																																												1																		1							1	1																				
K_Offshore_80m_m1_031	Actinobacteria	Bacteria	76.88	2.56	90.2	0	23			1			1	1																																																																																													1		1					1																						
K_DeepCast_65m_m2_120	Actinobacteria acI-B1	Bacteria	96.55	64.54	100	49.02	1						1	1																																																																					2	2						2																								1																						
K_DeepCast_1200m_m2_173	Actinobacteria acI-B1	Bacteria	79.65	56.27	82.35	31.58	1						1	1																																																																					2	2						1																								1																						
K_Offshore_40m_m2_034	Actinobacteria acI-B1	Bacteria	70.8	0.53	98.04	0	9																																																																												2	2						1																								1																						
M_surface_7_m2_032	Actinobacteria acI-B1	Bacteria	50.83	0	74.51	0	13																																																																																			1																																														
K_DeepCast_250m_m2_310	Actinobacteria acI-B1	Bacteria	93.1	18.97	96.08	13.73	1						1	1																																																																					1	1						1																																														
M_DeepCast_10m_mx_089	Actinobacteria acI-B1	Bacteria	45.64	1.18	80.39	1.96	6																																																																																			1																																														
M_surface_9_m1_114	Actinobacteria acI-B1	Bacteria	9.77	0	52.94	0	1																																																																																																																																	
K_DeepCast_65m_m2_221	Actinobacteria acI-B1	Bacteria	81.15	0	98.04	0	14						1	1																																																			1	1																	1	1						1																																														
M_DeepCast_50m_m2_266	Actinobacteria acI-B1	Bacteria	79.74	58.79	96.08	35.29	1						1	1																																																																					2	1						2																								2																						
M_DeepCast_10m_m2_141	Actinobacteria acI-B1	Bacteria	79.61	21.37	96.08	13.16	1						1																																																																						2	2						1																								1																						
M_surface_9_m1_009	Actinobacteria acI-C	Bacteria	82.45	2.41	94.12	0	15						1	1																																																																					1	1						1																									1																					
M_surface_9_m1_017	Actinobacteria acI-C	Bacteria	81.75	4.82	88.24	5.88	7						1	1																																																																												1																																														
K_Offshore_0m_m1_007	Actinobacteria acI-C	Bacteria	86.94	2.36	100	2.63	24						1	1																																																																					1	1						1																																														
M_surface_9_m2_080	Actinobacteria acI-C2	Bacteria	73.43	0	94.12	0	24																																																																													1																																																				
M_surface_10_m2_076	Actinobacteria acI-C2	Bacteria	77.47	0.79	92.16	1.96	22							1																																																																					1	1						1																								1																						
M_surface_10_m2_136	Actinobacteria acI-C2	Bacteria	74.31	1.47	92.16	1.96	24																																																																																			1																																														
K_DeepCast_1200m_m2_272	Actinobacteria acIII	Bacteria	91.81	2.62	98.04	9.8	1		1																																																												1	1													2	1						2	1	1																																1												
K_Offshore_120m_m1_195	Actinobacteria acIV	Bacteria	79.6	6.84	84.31	7.84	1			1			1	1																																																																					1	2						1											1							2	1					2								2														
K_Offshore_120m_m1_107	Actinobacteria acIV	Bacteria	24.77	0	62.75	0	20																																																																												1	1						1																																														
M_surface_10_m2_188	Actinobacteria acIV	Bacteria	85.47	1.28	92.16	1.96	23			1				1																																																																																													2	1	1															1												
M_surface_8_m2_026	Actinobacteria acIV	Bacteria	91.45	1.28	100	0	24			1			1	1																																																																					1	1						1																	2	1	2					2										1												
K_Offshore_40m_m2_124	Actinobacteria acIV	Bacteria	90.6	0.85	88.24	5.88	21			2																																																																									1	1						1				1							1						2	1	1							1																				
K_Offshore_80m_m1_195	Actinobacteria acIV	Bacteria	96.58	1.71	100	2.63	18			1			1	1																																																																						1						1	1	1									1													1		3								1			1									
K_Offshore_40m_m2_105	Actinobacteria acIV-C	Bacteria	97.44	2.14	98.04	2.63	9			2																																																																									1	1						1																	4		1					1	4									1			1						1	1		
M_surface_6_mx_034	Actinobacteria acIV-C	Bacteria	31.99	0.9	74.51	3.92	9																																																																																			1																																														
