"Genome1"	"Genome2"	"ANI"	"self"	"group"	"group2"	"versus"	"Manual.Taxonomy"	"Taxonomy..GTDB.tk."
"K_DeepCast_100m_m2_028"	"GCA_009691025.1_ASM969102v1_genomic.fna"	74.873306	FALSE	"Tanganyika"	"Baikal"	"Tanganyika_vs_Baikal"	"Lentisphaerae"	"d__Bacteria;p__Verrucomicrobiota;c__Kiritimatiellae;o__;f__;g__;s__"
"K_DeepCast_35m_m2_067"	"GCA_009691025.1_ASM969102v1_genomic.fna"	76.81028	FALSE	"Tanganyika"	"Baikal"	"Tanganyika_vs_Baikal"	"Alphaproteobacteria non LD12"	"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__;f__;g__;s__"
"K_DeepCast_35m_m2_271"	"GCA_009691025.1_ASM969102v1_genomic.fna"	76.467789	FALSE	"Tanganyika"	"Baikal"	"Tanganyika_vs_Baikal"	"Alphaproteobacteria non LD12"	"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__;f__;g__;s__"
"K_DeepCast_65m_m2_129"	"GCA_009691025.1_ASM969102v1_genomic.fna"	75.483841	FALSE	"Tanganyika"	"Baikal"	"Tanganyika_vs_Baikal"	"Betaproteobacteria"	"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Betaproteobacteriales;f__SG8-39;g__;s__"
"K_Offshore_120m_mx_162"	"GCA_009691025.1_ASM969102v1_genomic.fna"	74.908356	FALSE	"Tanganyika"	"Baikal"	"Tanganyika_vs_Baikal"	"Deltaproteobacteria"	"d__Bacteria;p__Myxococcota;c__UBA9160;o__UBA9160;f__UBA6930;g__;s__"
"K_Offshore_40m_m2_012"	"GCA_009691025.1_ASM969102v1_genomic.fna"	74.877731	FALSE	"Tanganyika"	"Baikal"	"Tanganyika_vs_Baikal"	"Actinobacteria"	"d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__;f__;g__;s__"
"K_Offshore_80m_m1_186"	"GCA_009691025.1_ASM969102v1_genomic.fna"	74.993896	FALSE	"Tanganyika"	"Baikal"	"Tanganyika_vs_Baikal"	"Planctomycetes"	"d__Bacteria;p__Planctomycetota;c__UBA1135;o__UBA2386;f__UBA2386;g__;s__"
"K_Offshore_80m_m2_053"	"GCA_009691025.1_ASM969102v1_genomic.fna"	76.78968	FALSE	"Tanganyika"	"Baikal"	"Tanganyika_vs_Baikal"	"Alphaproteobacteria non LD12"	"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__;f__;g__;s__"
"K_Offshore_80m_m2_107"	"GCA_009691025.1_ASM969102v1_genomic.fna"	76.498466	FALSE	"Tanganyika"	"Baikal"	"Tanganyika_vs_Baikal"	"Alphaproteobacteria non LD12"	"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__;f__;g__;s__"
"K_Offshore_80m_m2_115"	"GCA_009691025.1_ASM969102v1_genomic.fna"	76.122467	FALSE	"Tanganyika"	"Baikal"	"Tanganyika_vs_Baikal"	"Alphaproteobacteria non LD12"	"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sneathiellales;f__;g__;s__"
"K_Offshore_80m_m2_123"	"GCA_009691025.1_ASM969102v1_genomic.fna"	76.063217	FALSE	"Tanganyika"	"Baikal"	"Tanganyika_vs_Baikal"	"Alphaproteobacteria non LD12"	"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__;s__"
"K_Offshore_80m_m2_187"	"GCA_009691025.1_ASM969102v1_genomic.fna"	76.640656	FALSE	"Tanganyika"	"Baikal"	"Tanganyika_vs_Baikal"	"Alphaproteobacteria non LD12"	"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__UBA828;f__;g__;s__"
