MAG_ID,Genome size (bp) of MAG,Percent CDS (CDS bp divided by total BP),Cazyme density (nb of CAZYME/bp),sum AA,sum CBM,sum CE,sum cohesin,sum GH,sum GT,sum PL,AA10,AA12,AA2,AA3,AA3_2,AA3_4,AA4,AA5,AA5_2,AA6,AA7,CBM13,CBM16,CBM2,CBM20,CBM25,CBM3,CBM32,CBM34,CBM35,CBM38,CBM4,CBM40,CBM41,CBM44,CBM47,CBM48,CBM50,CBM51,CBM53,CBM57,CBM6,CBM66,CBM67,CBM73,CBM8,CBM9,CE1,CE10,CE11,CE12,CE13,CE14,CE15,CE16,CE2,CE3,CE4,CE5,CE6,CE7,CE8,CE9,cohesin,GH1,GH10,GH100,GH102,GH103,GH104,GH105,GH106,GH107,GH108,GH109,GH110,GH112,GH113,GH114,GH115,GH116,GH117,GH119,GH12,GH120,GH123,GH125,GH127,GH128,GH129,GH13,GH13_1,GH13_10,GH13_11,GH13_13,GH13_15,GH13_16,GH13_18,GH13_2,GH13_20,GH13_21,GH13_23,GH13_26,GH13_27,GH13_3,GH13_30,GH13_31,GH13_33,GH13_36,GH13_38,GH13_4,GH13_5,GH13_6,GH13_7,GH13_8,GH13_9,GH130,GH133,GH135,GH136,GH137,GH138,GH139,GH140,GH141,GH142,GH143,GH144,GH145,GH146,GH147,GH148,GH149,GH15,GH150,GH151,GH152,GH153,GH16,GH17,GH18,GH19,GH2,GH20,GH22,GH23,GH24,GH25,GH26,GH27,GH28,GH29,GH3,GH30,GH30_1,GH30_2,GH30_5,GH30_8,GH31,GH32,GH33,GH35,GH36,GH37,GH38,GH39,GH4,GH42,GH43,GH43_10,GH43_11,GH43_12,GH43_17,GH43_18,GH43_2,GH43_22,GH43_24,GH43_26,GH43_27,GH43_28,GH43_30,GH43_31,GH43_32,GH43_33,GH43_5,GH43_8,GH43_9,GH44,GH45,GH46,GH47,GH48,GH49,GH5,GH5_1,GH5_10,GH5_12,GH5_13,GH5_14,GH5_17,GH5_19,GH5_2,GH5_22,GH5_24,GH5_25,GH5_27,GH5_28,GH5_29,GH5_32,GH5_36,GH5_37,GH5_38,GH5_39,GH5_41,GH5_42,GH5_45,GH5_46,GH5_48,GH5_5,GH5_51,GH5_7,GH50,GH51,GH53,GH55,GH56,GH57,GH6,GH62,GH63,GH64,GH65,GH66,GH67,GH7,GH71,GH72,GH73,GH74,GH76,GH77,GH78,GH79,GH8,GH81,GH84,GH86,GH87,GH88,GH89,GH9,GH92,GH93,GH94,GH95,GH96,GH97,GH99,GT1,GT10,GT101,GT102,GT103,GT104,GT11,GT12,GT13,GT14,GT15,GT17,GT19,GT2_Glyco_tranf_2_2,GT2_Glyco_tranf_2_3,GT2_Glyco_tranf_2_4,GT2_Glyco_tranf_2_5,GT2_Glyco_trans_2_3,GT2_Glycos_transf_2,GT20,GT21,GT22,GT23,GT25,GT26,GT27,GT28,GT29,GT3,GT30,GT31,GT32,GT33,GT34,GT35,GT39,GT4,GT41,GT45,GT46,GT47,GT48,GT5,GT50,GT51,GT53,GT55,GT56,GT59,GT6,GT60,GT61,GT66,GT69,GT7,GT70,GT71,GT74,GT75,GT76,GT77,GT8,GT81,GT83,GT84,GT85,GT87,GT88,GT89,GT9,GT90,GT92,GT94,PL1,PL1_2,PL1_6,PL10,PL10_2,PL10_3,PL11,PL11_2,PL12,PL12_2,PL12_3,PL14,PL14_3,PL15,PL15_1,PL17,PL17_2,PL2,PL21,PL21_1,PL22,PL22_2,PL25,PL26,PL27,PL3,PL4,PL5,PL6,PL6_1,PL6_2,PL7,PL8,PL8_2,PL8_3,PL9,PL9_1,PL9_2,PL9_4,Total of annotated CAZYmes
K_Offshore_80m_m2_035,2327838,0.91303046,1.24579E-05,2,0,5,0,5,17,0,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,2,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,5,,,,,,,,1,,,,,,,,,,1,2,,,,,,,2,,,,,,,,,,,,,,,,,,,1,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29
M_surface_10_m1_251,3084019,0.947245785,2.62644E-05,5,5,13,0,14,44,0,,,1,2,,,2,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,4,2,6,1,,,3,,,,,,,,,,1,,,,,,1,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,2,,,,,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,4,,,,11,,,,,,,,1,,,1,,,,,1,,14,,,,,,1,,3,,,,,,,,,,,,,,,,,,,3,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81
K_DeepCast_65m_m1_223,3113930,0.941349998,2.50487E-05,4,1,13,0,20,40,0,,,,3,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,8,1,,,1,,,,1,,,,,,1,,,,,,1,,,,,,4,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,3,,,,,,,2,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,1,,,,11,,,,,,,,1,,,1,,,,,1,,15,,,,,,1,,3,,,,,,,,,,,,,,,,,,,2,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78
K_Offshore_80m_m2_020,3910054,0.916246169,2.86441E-05,7,17,16,0,9,63,0,,,1,2,,,2,,,,2,,,,,,,,,,,,,,,,2,,,,1,,,,,,14,2,5,1,,,3,,,,,4,,,,,1,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,1,,,,21,1,,,,,,,1,,,1,,,,,1,,24,,,,,,1,,3,,,,,,,,,,,,,,,,,,1,3,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112
M_DeepCast_65m_m2_224,3963882,0.932754305,2.62369E-05,9,8,20,0,17,50,0,,,,8,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,7,5,9,1,,,2,,,,1,1,,,,,1,,,,,,1,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,4,,,,,,,2,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,11,,,,,,,,1,,,1,,,1,,1,,20,,,,,,1,,3,,,,,,,,1,,,1,,,,2,,,,1,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104
K_Offshore_120m_m2_006,4217311,0.931072193,2.11035E-05,3,17,11,0,10,48,0,,,,2,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,15,2,3,1,,,,,,,,4,,,,,1,,,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,3,,,,21,1,,,,,,,1,,,1,,,,,1,,11,,,,,,,,3,,,,,,,,,,,,,,,,,,,1,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89
K_Offshore_80m_m2_117,4440616,0.908310919,2.16186E-05,4,10,20,0,11,51,0,,,,2,,,1,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,9,4,8,1,,,3,,,,1,2,,,,,1,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,,,12,1,,,,,,,1,,,1,,,1,,2,,19,,,,,,,,5,,,,,,,,,,,,,,,1,,,,2,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96
K_Offshore_80m_m2_092,5425955,0.843309242,3.42797E-05,7,7,24,0,94,54,0,,,,5,,,,,,1,1,,,,,,,,,,,,,,,,1,,,,,,1,1,,,4,2,9,1,,,5,2,,,1,,,,1,,3,,,,,,,,,1,,,21,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,3,,,,,,,,,,,,,,,,,,,,,6,,,,,2,,1,1,,,,,,,49,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,1,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,1,,5,,,,17,,1,,,,,,1,,,1,,,,,2,,10,,,,,,1,,3,,,,,,,,,,,,,,,,,,1,5,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,186
K_DeepCast_65m_m1_022,6247865,0.936356339,3.53721E-05,8,5,42,0,69,92,5,,,,7,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,2,,,,2,8,17,,,,5,1,,,,5,,,5,,1,,,,,,,,,,,,35,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,5,,,,,,,,1,,,,,,,,,,,3,,,4,,,,,,2,,,,,,,,,5,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,1,,,1,,,,,,,,,,,1,,,,,,,,1,,,,,,1,,,,1,,,,,,,,,,,,2,,4,,,,32,,3,,,,1,1,2,,,3,,,,,1,1,17,3,,,,,1,,2,,,,,,,,1,,,,,,,,,1,2,8,,,,,,6,,,,,,,,,1,1,,,,1,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,221
K_Offshore_40m_m2_139,952901,0.946939923,1.88897E-05,2,0,3,0,1,12,0,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,4,,,,,,,,1,,,,,,,,,1,2,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18
