MAG	Depth	Cluster.ID	Representative.cluster	Representative.sequence
1	K_DeepCast_0m_m2_029	0	594_1	No
2	K_Offshore_0m_mx_001	0	594_1	No
3	K_DeepCast_0m_m2_237	0	590_1	No
4	K_Offshore_0m_mx_101	0	590_1	No
5	K_Offshore_0m_mx_059	0	587_1	No
6	K_DeepCast_0m_m2_227	0	585_1	No
7	K_Offshore_0m_m2_019	0	585_1	No
8	K_DeepCast_0m_m2_115	0	582_1	Representative sequence
9	K_DeepCast_0m_m2_222	0	579_1	Representative sequence
10	K_Offshore_0m_m2_171	0	579_1	No
11	K_DeepCast_0m_m2_005	0	578_1	No
12	K_Offshore_0m_m2_080	0	578_1	No
13	K_Offshore_0m_m2_187	0	577_2	No
14	K_DeepCast_0m_mx_182	0	577_1	No
15	K_DeepCast_0m_m2_156	0	577_2	No
16	K_DeepCast_0m_m2_165	0	574_1	No
17	K_Offshore_0m_m2_029	0	574_1	No
18	K_DeepCast_0m_mx_226	0	572_1	No
19	K_DeepCast_0m_m2_014	0	571_1	No
20	K_Offshore_0m_m1_167	0	571_1	No
21	K_DeepCast_0m_m1_238	0	570_1	No
22	K_DeepCast_0m_m2_133	0	569_1	No
23	K_Offshore_0m_m1_157	0	569_1	No
24	K_DeepCast_0m_m1_214	0	566_1	No
25	K_Offshore_0m_m1_170	0	566_1	No
26	K_Offshore_0m_mx_104	0	564_1	No
27	K_Offshore_0m_m1_183	0	563_1	No
28	K_Offshore_0m_m2_133	0	559_1	No
29	K_DeepCast_0m_m2_231	0	559_1	No
30	K_Offshore_0m_mx_139	0	557_2	Representative sequence
31	K_DeepCast_0m_mx_034	0	557_2	No
32	K_Offshore_0m_mx_046	0	556_3	Representative sequence
33	K_DeepCast_0m_m2_007	0	551_1	No
34	K_Offshore_0m_mx_086	0	551_1	No
35	K_DeepCast_0m_m2_132	0	548_1	No
36	K_Offshore_0m_m1_190	0	548_1	No
37	K_Offshore_0m_mx_175	0	542_1	No
38	K_DeepCast_0m_m1_084	0	542_1	No
39	K_Offshore_0m_m2_039	0	541_1	No
40	K_DeepCast_0m_m2_134	0	540_1	No
41	K_Offshore_0m_m2_165	0	540_1	No
42	K_DeepCast_0m_mx_099	0	537_1	No
43	K_Offshore_0m_m1_015	0	518_1	No
44	K_DeepCast_0m_m1_019	0	518_1	No
45	K_Offshore_0m_m1_008	0	513_1	No
46	K_DeepCast_0m_mx_237	0	513_1	No
47	K_DeepCast_0m_m2_068	0	512_1	No
48	K_DeepCast_0m_mx_128	0	511_1	No
49	K_Offshore_0m_m2_127	0	502_2	No
50	K_DeepCast_0m_m2_220	0	502_2	No
51	K_Offshore_0m_m1_040	0	501_3	No
52	K_DeepCast_0m_m2_116	0	501_3	No
53	K_DeepCast_0m_m1_025	0	500_1	No
54	K_DeepCast_0m_mx_168	0	499_1	No
55	K_Offshore_0m_mx_118	0	499_1	No
56	K_DeepCast_0m_m2_143	0	498_1	No
57	K_Offshore_0m_m2_075	0	497_1	No
58	K_DeepCast_0m_m2_117	0	497_1	No
59	K_DeepCast_0m_m2_174	0	496_1	No
60	K_Offshore_0m_m2_092	0	496_1	No
61	K_Offshore_0m_m1_007	0	494_1	Representative sequence
62	K_DeepCast_0m_m2_087	0	494_1	No
63	K_DeepCast_0m_m1_250	0	493_1	No
64	K_Offshore_0m_m2_096	0	493_1	No
65	K_DeepCast_0m_m2_078	0	492_1	No
66	K_Offshore_0m_m1_019	0	492_1	No
67	K_DeepCast_0m_m2_219	0	485_1	No
68	K_Offshore_0m_m1_160	0	485_1	No
69	K_Offshore_0m_m2_010	0	478_1	No
70	K_DeepCast_0m_m1_203	0	478_1	No
71	K_Offshore_0m_m1_188	0	477_1	No
72	K_Offshore_0m_m2_065	0	473_1	No
73	K_DeepCast_0m_m1_088	0	473_3	Representative sequence
74	K_Offshore_0m_m2_169	0	472_1	No
75	K_DeepCast_0m_mx_179	0	472_1	No
76	K_Offshore_0m_m2_136	0	471_1	No
77	K_DeepCast_0m_m1_240	0	471_1	No
78	K_Offshore_0m_m2_098	0	470_1	No
79	K_DeepCast_0m_mx_001	0	470_1	No
80	K_Offshore_0m_m2_072	0	468_7	Representative sequence
81	K_DeepCast_0m_m2_204	0	467_1	No
82	K_Offshore_0m_mx_194	0	467_1	No
83	K_DeepCast_0m_m1_236	0	457_1	No
84	K_Offshore_0m_m2_008	0	456_1	No
85	K_DeepCast_0m_m1_195	0	456_1	No
86	K_DeepCast_0m_mx_173	0	451_1	No
87	K_Offshore_0m_m1_184	0	451_1	No
88	K_Offshore_0m_m2_183	0	449_1	No
89	K_DeepCast_0m_mx_204	0	443_1	No
90	K_Offshore_0m_m1_142	0	443_1	No
91	K_DeepCast_0m_m2_020	0	439_1	No
92	K_Offshore_0m_m1_163	0	439_1	No
93	K_Offshore_0m_m1_055	0	414_1	Representative sequence
94	K_Offshore_0m_m1_179	0	404_1	No
95	K_DeepCast_0m_m1_218	0	401_1	No
96	K_Offshore_0m_m1_029	0	401_1	No
97	K_DeepCast_0m_mx_045	0	400_2	No
98	K_DeepCast_0m_m1_110	0	370_1	No
99	K_Offshore_0m_m1_141	0	370_1	No
100	K_Offshore_0m_m2_175	0	356_1	No
101	K_DeepCast_0m_m2_089	0	356_1	No
102	K_DeepCast_0m_m1_254	0	355_1	No
103	K_Offshore_0m_m2_091	0	355_1	No
104	K_DeepCast_0m_m1_044	0	352_2	No
105	K_Offshore_0m_m2_021	0	352_1	No
106	K_Offshore_0m_m2_142	0	340_1	No
107	K_Offshore_0m_mx_016	0	335_1	No
108	K_DeepCast_0m_m1_178	0	325_2	No
109	K_Offshore_0m_m1_118	0	325_2	No
110	K_DeepCast_0m_m1_252	0	322_1	No
111	K_Offshore_0m_m2_003	0	322_1	No
112	K_Offshore_0m_m1_127	0	308_1	No
113	K_DeepCast_0m_m1_183	0	308_1	No
114	K_DeepCast_0m_m2_136	0	305_2	No
115	K_Offshore_0m_m1_088	0	305_2	No
116	K_Offshore_0m_m1_077	0	305_1	No
