gene name	KO	thrshld	score	E-value	KO definition	MAG	CP	Count
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10004322_2	K02529	266.7	365.3	2.30E-109	LacI family transcriptional regulator	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10004322_4	K02014	101.73	159.1	5.80E-47	iron complex outermembrane recepter protein	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10004322_10	K05786	82	360.5	2.50E-108	chloramphenicol-sensitive protein RarD	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10004907_1	K00793	56.43	141.3	1.10E-41	riboflavin synthase [EC:2.5.1.9]	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10004907_2	K11752	209.23	395.3	1.30E-118	diaminohydroxyphosphoribosylaminopyrimidine deaminase / 5-amino-6-(5-phosphoribosylamino)uracil reductase [EC:3.5.4.26 1.1.1.193]	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10004907_3	K03110	289.7	408	1.10E-122	fused signal recognition particle receptor	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10004907_4	K00057	276.77	437.2	1.90E-131	glycerol-3-phosphate dehydrogenase (NAD(P)+) [EC:1.1.1.94]	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10004907_5	K08591	61.13	193.9	9.90E-58	acyl phosphate:glycerol-3-phosphate acyltransferase [EC:2.3.1.275]	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10004907_6	K03742	244.17	491.1	7.10E-148	nicotinamide-nucleotide amidase [EC:3.5.1.42]	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10004907_7	K01095	31.93	166.4	2.50E-49	phosphatidylglycerophosphatase A [EC:3.1.3.27]	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10004907_10	K13599	507.83	558.2	3.40E-168	two-component system, NtrC family, nitrogen regulation response regulator NtrX	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10004907_11	K13598	282	603.6	1.60E-181	two-component system, NtrC family, nitrogen regulation sensor histidine kinase NtrY [EC:2.7.13.3]	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10004907_13	K07738	37.57	223.9	4.50E-67	transcriptional repressor NrdR	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10004907_14	K07027	85.87	132.4	7.70E-39	glycosyltransferase 2 family protein	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10004907_15	K01923	151.63	431.1	2.30E-129	phosphoribosylaminoimidazole-succinocarboxamide synthase [EC:6.3.2.6]	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10004907_16	K04078	21.3	148.2	8.80E-44	chaperonin GroES	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10004907_17	K04077	111	680.3	8.10E-205	chaperonin GroEL	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10004920_5	K19294	264.1	380.3	3.90E-114	alginate O-acetyltransferase complex protein AlgI	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10004920_7	K13992	74.23	100.1	3.80E-29	photosynthetic reaction center cytochrome c subunit	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10004920_8	K07726	43.4	88.9	8.80E-26	putative transcriptional regulator	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10005530_6	K06920	96.93	171.6	6.20E-51	7-cyano-7-deazaguanine synthase [EC:6.3.4.20]	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10005530_7	K01737	27.5	126.8	2.50E-37	6-pyruvoyltetrahydropterin/6-carboxytetrahydropterin synthase [EC:4.2.3.12 4.1.2.50]	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10005530_8	K01091	114.47	169.7	2.70E-50	phosphoglycolate phosphatase [EC:3.1.3.18]	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10005530_13	K00003	263.27	268.8	2.80E-80	homoserine dehydrogenase [EC:1.1.1.3]	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10005530_15	K13444	219.73	245.5	3.50E-73	formylglycine-generating enzyme [EC:1.8.3.7]	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10005530_16	K21147	477.43	572.9	2.30E-172	sulfur-carrier protein adenylyltransferase/sulfurtransferase [EC:2.7.7.80 2.7.7.- 2.8.1.11 2.8.1.-]	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10005530_16	K21029	315.83	331.2	2.00E-99	molybdopterin-synthase adenylyltransferase [EC:2.7.7.80]	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10005530_18	K04487	282.07	699.6	8.30E-211	cysteine desulfurase [EC:2.8.1.7]	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10005586_3	K16213	282.77	384	2.20E-115	cellobiose epimerase [EC:5.1.3.11]	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10005586_6	K00322	384.2	464.3	1.20E-139	NAD(P) transhydrogenase [EC:1.6.1.1]	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10005586_13	K04087	196.53	246.6	9.60E-74	membrane protease subunit HflC [EC:3.4.-.-]	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10006033_4	K07062	110.63	168.7	3.70E-50	toxin FitB [EC:3.1.-.-]	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10006033_5	K21495	42.33	63.2	9.40E-18	antitoxin FitA	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10006033_6	K07133	95.3	269.2	2.20E-80	uncharacterized protein	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
TA2KigC100mmetaG_2.148624.fna_Ga0194127_10006033_11	K12373	92.53	419.9	4.50E-126	hexosaminidase [EC:3.2.1.52]	K_DeepCast_100m_m2_001.faa	CP Ziwabacteria	1
