NCBI Genome Submission ID,NCBI BioSample Submission ID,Genome (MAG Identifier),Genome completeness (CheckM),Genome contamination (CheckM),Manual Taxonomy,Taxonomy (GTDB-tk),Comparison of Manual Taxonomy (16RP) and GTDB-tk,Candidate phyla,DPANN,Domain,Number of MAG in cluster (dRep),Completeness (DasTool),Contamination (DasTool),TaxAss-kingdom,TaxAss-phylum,TaxAss-class,TaxAss-order,TaxAss-lineage,TaxAss-clade,TaxAss-tribe,Taxonomy (NCBI),Strain name,16S rRNA phylogeny (CheckM),Number of contigs,Number of  predicted genes,Number of scaffolds,Coding density,GC,Genome size (bp),Longest contig,Longest scaffold,Mean contig length,Mean scaffold length,N50 (contigs),N50 (scaffolds),Translation table,tRNAs decoding Standard 20 AA,Selenocysteine tRNAs,Possible suppressor tRNAs,tRNAs with undetermined/unknown isotypes,Predicted pseudogenes,Total tRNAs
VFYY00000000,SAMN10966228,K_Offshore_120m_m2_006,90.51,3.85,Acidobacteria,d__Bacteria;p__Acidobacteriota;c__Luteitaleia;o__Luteitaleales;f__UBA2999;g__;s__,Match,,,Bacteria,2,90.2,9.8,Bacteria(100),Acidobacteria(100),Subgroup_6(100),unclassified,unclassified,unclassified,unclassified,d__Bacteria;p__Acidobacteriota;c__;o__;f__;g__;s__,Acidobacteriota bacterium K_Offshore_120m_m2_006 [Phylum],Bacteria;Acidobacteria;Subgroup 6;uncultured bacterium,295,4078,295,0.931,0.69,4217311,74366,74366,14296,14296,21583,21583,11,34,0,1,1,1,37
VFZE00000000,SAMN10966234,K_DeepCast_65m_m1_022,99.12,3.51,Acidobacteria,d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Solibacterales;f__Solibacteraceae;g__;s__,Match,,,Bacteria,7,100,5.26,Bacteria(100),Acidobacteria(100),Acidobacteriia(100),Solibacterales(100),Solibacteraceae_(Subgroup_3)(100),Bryobacter(95),unclassified,d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Solibacterales;f__Solibacteraceae;g__;s__,Solibacteraceae bacterium K_DeepCast_65m_m1_022 [Family],Bacteria;Acidobacteria;Solibacteres;Solibacterales;Solibacteraceae (Subgroup 3);Bryobacter;uncultured bacterium,166,5558,166,0.936,0.62,6247865,329268,329268,37638,37638,93727,93727,11,49,0,0,0,3,52
VFZF00000000,SAMN10966235,K_DeepCast_65m_m1_223,97.44,4.32,Acidobacteria,d__Bacteria;p__Acidobacteriota;c__Luteitaleia;o__Luteitaleales;f__;g__;s__,Match,,,Bacteria,13,98.04,1.96,Bacteria(100),Acidobacteria(100),Subgroup_6(100),unclassified,unclassified,unclassified,unclassified,d__Bacteria;p__Acidobacteriota;c__;o__;f__;g__;s__,Acidobacteriota bacterium K_DeepCast_65m_m1_223 [Phylum],Bacteria;Acidobacteria;Subgroup 6;uncultured bacterium,55,2895,55,0.941,0.65,3113930,274271,274271,56617,56617,153728,153728,11,48,0,0,0,0,48
VFZG00000000,SAMN10966236,M_DeepCast_65m_m2_224,94.87,5.98,Acidobacteria,d__Bacteria;p__Acidobacteriota;c__Luteitaleia;o__Luteitaleales;f__UBA2999;g__12-FULL-67-14b;s__,Match,,,Bacteria,14,100,3.92,Bacteria(100),Acidobacteria(100),Subgroup_6(100),unclassified,unclassified,unclassified,unclassified,d__Bacteria;p__Acidobacteriota;c__;o__;f__;g__;s__,Acidobacteriota bacterium M_DeepCast_65m_m2_224 [Phylum],Bacteria;Acidobacteria;Subgroup 6;uncultured soil bacterium,124,3580,124,0.933,0.66,3963882,231811,231811,31967,31967,65636,65636,11,43,0,0,0,1,44
VFZH00000000,SAMN10966237,K_Offshore_80m_m2_020,95.44,3.42,Acidobacteria,d__Bacteria;p__Acidobacteriota;c__Luteitaleia;o__Luteitaleales;f__UBA2999;g__;s__,Match,,,Bacteria,2,98.04,3.92,Bacteria(100),Acidobacteria(100),Subgroup_6(100),unclassified,unclassified,unclassified,unclassified,d__Bacteria;p__Acidobacteriota;c__;o__;f__;g__;s__,Acidobacteriota bacterium K_Offshore_80m_m2_020 [Phylum],Bacteria;Acidobacteria;Subgroup 6;uncultured bacterium,243,3617,243,0.916,0.70,3910054,100138,100138,16091,16091,24465,24465,11,42,0,0,1,1,44
VFZI00000000,SAMN10966238,K_Offshore_80m_m2_035,77.46,0.05,Acidobacteria,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__;g__;s__,Not a match,,,Bacteria,9,74.51,0,,,,,,,,d__Bacteria;p__;c__;o__;f__;g__;s__,Bacteria bacterium K_Offshore_80m_m2_035 [Domain],,141,2425,141,0.913,0.66,2327838,155994,155994,16509,16509,25965,25965,11,26,0,0,0,1,27
VFZK00000000,SAMN10966240,K_Offshore_80m_m2_092,95.44,1.76,Acidobacteria,d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__;f__;g__;s__,Match,,,Bacteria,4,98.04,1.96,Bacteria(100),Acidobacteria(100),Subgroup_11(100),unclassified,unclassified,unclassified,unclassified,d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__;f__;g__;s__,Acidobacteriae bacterium K_Offshore_80m_m2_092 [Class],Bacteria;Acidobacteria;Subgroup 11;uncultured Acidobacteria bacterium,622,5034,622,0.843,0.58,5425955,44038,44038,8723,8723,11516,11516,11,34,0,0,0,1,35
VFZL00000000,SAMN10966241,K_Offshore_80m_m2_117,95.44,5.13,Acidobacteria,d__Bacteria;p__Acidobacteriota;c__Luteitaleia;o__Luteitaleales;f__UBA2999;g__;s__,Match,,,Bacteria,2,98.04,3.92,Bacteria(100),Acidobacteria(100),Subgroup_6(100),unclassified,unclassified,unclassified,unclassified,d__Bacteria;p__Acidobacteriota;c__;o__;f__;g__;s__,Acidobacteriota bacterium K_Offshore_80m_m2_117 [Phylum],Bacteria;Acidobacteria;Subgroup 6;uncultured bacterium,85,4178,85,0.908,0.65,4440616,256320,256320,52243,52243,102887,102887,11,40,0,1,0,0,41
VFZN00000000,SAMN10966243,M_surface_10_m1_251,95.67,4.27,Acidobacteria,d__Bacteria;p__Acidobacteriota;c__Luteitaleia;o__Luteitaleales;f__UBA2999;g__;s__,Match,,,Bacteria,22,98.04,1.96,Bacteria(100),Acidobacteria(100),Subgroup_6(100),unclassified,unclassified,unclassified,unclassified,d__Bacteria;p__Acidobacteriota;c__;o__;f__;g__;s__,Acidobacteriota bacterium M_surface_10_m1_251 [Phylum],Bacteria;Acidobacteria;Subgroup 6;uncultured bacterium mle1-25,51,2715,51,0.947,0.67,3084019,311826,311826,60471,60471,162525,162525,11,45,0,0,0,2,47
VGAN00000000,SAMN10966270,K_DeepCast_100m_m1_278,70.3,8.48,Actinobacteria,d__Bacteria;p__Actinobacteriota;c__UBA1414;o__UBA1414;f__;g__;s__,Match,,,Bacteria,4,80.39,11.76,,,,,,,,d__Bacteria;p__;c__;o__;f__;g__;s__,Bacteria bacterium K_DeepCast_100m_m1_278 [Domain],,722,2575,722,0.848,0.33,2191797,30439,30439,3036,3036,3169,3169,11,33,0,0,0,1,34
