MAG	Depth	Cluster ID	Representative sequence
K_DeepCast_0m_m2_029	0	594_1	No
K_Offshore_0m_mx_001	0	594_1	No
K_DeepCast_0m_m2_237	0	590_1	No
K_Offshore_0m_mx_101	0	590_1	No
K_DeepCast_0m_mx_011	0	588_2	No
K_Offshore_0m_mx_059	0	587_1	No
K_Offshore_0m_m2_159	0	587_8	No
K_DeepCast_0m_m2_211	0	587_9	No
K_DeepCast_0m_m2_227	0	585_1	No
K_Offshore_0m_m2_019	0	585_1	No
K_DeepCast_0m_m2_115	0	582_1	Representative sequence
K_DeepCast_0m_m2_222	0	579_1	Representative sequence
K_Offshore_0m_m2_171	0	579_1	No
K_DeepCast_0m_m2_005	0	578_1	No
K_Offshore_0m_m2_080	0	578_1	No
K_Offshore_0m_m2_187	0	577_2	No
K_DeepCast_0m_mx_182	0	577_1	No
K_DeepCast_0m_m2_156	0	577_2	No
K_DeepCast_0m_m2_165	0	574_1	No
K_Offshore_0m_m2_029	0	574_1	No
K_DeepCast_0m_mx_226	0	572_1	No
K_DeepCast_0m_m2_014	0	571_1	No
K_Offshore_0m_m1_167	0	571_1	No
K_DeepCast_0m_m1_238	0	570_1	No
K_DeepCast_0m_m2_133	0	569_1	No
K_Offshore_0m_m1_157	0	569_1	No
K_DeepCast_0m_m1_214	0	566_1	No
K_Offshore_0m_m1_170	0	566_1	No
K_Offshore_0m_mx_104	0	564_1	No
K_Offshore_0m_m1_183	0	563_1	No
K_Offshore_0m_m2_133	0	559_1	No
K_DeepCast_0m_m2_231	0	559_1	No
K_Offshore_0m_mx_139	0	557_2	Representative sequence
K_DeepCast_0m_mx_034	0	557_2	No
K_Offshore_0m_mx_172	0	556_16	No
K_Offshore_0m_mx_046	0	556_3	Representative sequence
K_DeepCast_0m_m1_127	0	556_4	No
K_DeepCast_0m_m2_007	0	551_1	No
K_Offshore_0m_mx_086	0	551_1	No
K_DeepCast_0m_m2_132	0	548_1	No
K_Offshore_0m_m1_190	0	548_1	No
K_Offshore_0m_mx_175	0	542_1	No
K_DeepCast_0m_m1_084	0	542_1	No
K_DeepCast_0m_mx_038	0	543_0	No
K_Offshore_0m_m2_039	0	541_1	No
K_DeepCast_0m_mx_190	0	541_13	No
K_DeepCast_0m_m2_134	0	540_1	No
K_Offshore_0m_m2_165	0	540_1	No
K_DeepCast_0m_mx_099	0	537_1	No
K_DeepCast_0m_mx_036	0	535_3	No
K_DeepCast_0m_mx_006	0	528_1	No
K_Offshore_0m_mx_102	0	526_1	No
K_Offshore_0m_m1_015	0	518_1	No
K_DeepCast_0m_m1_019	0	518_1	No
K_Offshore_0m_m1_008	0	513_1	No
K_DeepCast_0m_mx_237	0	513_1	No
K_DeepCast_0m_m2_068	0	512_1	No
K_DeepCast_0m_mx_128	0	511_1	No
K_Offshore_0m_m2_127	0	502_2	No
K_DeepCast_0m_m2_220	0	502_2	No
K_Offshore_0m_m1_040	0	501_3	No
K_DeepCast_0m_m2_116	0	501_3	No
K_DeepCast_0m_m1_025	0	500_1	No
K_DeepCast_0m_mx_168	0	499_1	No
K_Offshore_0m_mx_118	0	499_1	No
K_DeepCast_0m_m2_143	0	498_1	No
K_Offshore_0m_m2_075	0	497_1	No
K_DeepCast_0m_m2_117	0	497_1	No
K_DeepCast_0m_m2_174	0	496_1	No
K_Offshore_0m_m2_092	0	496_1	No
K_Offshore_0m_m1_007	0	494_1	Representative sequence
K_DeepCast_0m_m2_087	0	494_1	No
K_DeepCast_0m_m1_250	0	493_1	No
K_Offshore_0m_m2_096	0	493_1	No
K_DeepCast_0m_m2_078	0	492_1	No
K_Offshore_0m_m1_019	0	492_1	No
K_DeepCast_0m_m2_219	0	485_1	No
K_Offshore_0m_m1_160	0	485_1	No
K_Offshore_0m_m2_010	0	478_1	No
K_DeepCast_0m_m1_203	0	478_1	No
K_Offshore_0m_m1_188	0	477_1	No
K_Offshore_0m_m2_065	0	473_1	No
K_DeepCast_0m_m1_088	0	473_3	Representative sequence
K_Offshore_0m_m2_169	0	472_1	No
K_DeepCast_0m_mx_179	0	472_1	No
K_Offshore_0m_m2_136	0	471_1	No
K_DeepCast_0m_m1_240	0	471_1	No
K_Offshore_0m_m2_098	0	470_1	No
K_DeepCast_0m_mx_001	0	470_1	No
K_Offshore_0m_m2_072	0	468_7	Representative sequence
K_DeepCast_0m_m2_193	0	468_4	No
K_DeepCast_0m_m2_204	0	467_1	No
K_Offshore_0m_mx_194	0	467_1	No
K_DeepCast_0m_m1_236	0	457_1	No
K_Offshore_0m_m2_008	0	456_1	No
K_DeepCast_0m_m1_195	0	456_1	No
K_DeepCast_0m_m2_057	0	454_1	No
K_Offshore_0m_m2_066	0	454_1	No
K_DeepCast_0m_mx_173	0	451_1	No
K_Offshore_0m_m1_184	0	451_1	No
K_Offshore_0m_m2_183	0	449_1	No
K_Offshore_0m_m1_114	0	448_0	No
K_Offshore_0m_m2_131	0	446_1	No
K_DeepCast_0m_mx_204	0	443_1	No
K_Offshore_0m_m1_142	0	443_1	No
K_DeepCast_0m_m2_020	0	439_1	No
K_Offshore_0m_m1_163	0	439_1	No
K_Offshore_0m_m1_055	0	414_1	Representative sequence
K_Offshore_0m_m1_179	0	404_1	No
K_DeepCast_0m_m1_218	0	401_1	No
K_Offshore_0m_m1_029	0	401_1	No
K_DeepCast_0m_mx_045	0	400_2	No
K_DeepCast_0m_m1_110	0	370_1	No
K_Offshore_0m_m1_141	0	370_1	No
K_Offshore_0m_m2_175	0	356_1	No
K_DeepCast_0m_m2_089	0	356_1	No
K_DeepCast_0m_m1_254	0	355_1	No
K_Offshore_0m_m2_091	0	355_1	No
K_DeepCast_0m_m1_044	0	352_2	No
K_Offshore_0m_m2_021	0	352_1	No
K_Offshore_0m_m2_142	0	340_1	No
K_Offshore_0m_mx_016	0	335_1	No
K_DeepCast_0m_m1_178	0	325_2	No
K_Offshore_0m_m1_118	0	325_2	No
K_DeepCast_0m_m2_002	0	323_8	No
K_DeepCast_0m_m1_252	0	322_1	No
K_Offshore_0m_m2_003	0	322_1	No
K_Offshore_0m_m1_127	0	308_1	No
K_DeepCast_0m_m1_183	0	308_1	No
K_DeepCast_0m_m2_136	0	305_2	No
K_Offshore_0m_m1_088	0	305_2	No
K_Offshore_0m_m1_077	0	305_1	No
K_Offshore_0m_m2_189	0	304_1	No
K_DeepCast_0m_m2_129	0	304_1	No
K_Offshore_0m_m2_129	0	303_1	No
K_DeepCast_0m_m1_175	0	303_1	No
K_DeepCast_0m_m1_144	0	302_1	Representative sequence
K_Offshore_0m_m2_007	0	302_1	No
K_Offshore_0m_m2_087	0	301_1	No
K_DeepCast_0m_m2_113	0	301_1	No
K_Offshore_0m_mx_009	0	300_1	No
K_DeepCast_0m_m2_181	0	300_1	No
K_DeepCast_0m_m2_242	0	299_1	No
K_DeepCast_0m_mx_018	0	295_1	No
K_Offshore_0m_mx_067	0	295_1	No
K_Offshore_0m_m2_156	0	286_1	No
K_DeepCast_0m_mx_246	0	286_1	No
K_Offshore_0m_m2_100	0	284_11	No
K_Offshore_0m_mx_160	0	284_7	No
K_Offshore_0m_mx_117	0	283_10	Representative sequence
K_DeepCast_0m_m1_241	0	282_1	No
K_Offshore_0m_m1_189	0	280_1	No
K_DeepCast_0m_m2_216	0	280_1	No
K_DeepCast_0m_m2_081	0	276_1	No
K_Offshore_0m_mx_137	0	276_1	No
K_Offshore_0m_m1_158	0	270_1	No
K_DeepCast_0m_m2_091	0	269_2	No
K_Offshore_0m_mx_145	0	269_2	No
K_DeepCast_0m_m2_149	0	234_1	No
K_DeepCast_0m_m2_058	0	233_1	No
K_DeepCast_0m_m1_187	0	227_1	No
K_Offshore_0m_mx_037	0	226_1	Representative sequence
K_DeepCast_0m_m1_197	0	226_1	No
K_DeepCast_0m_m2_180	0	208_1	No
K_Offshore_0m_m1_154	0	208_1	No
K_Offshore_0m_m1_150	0	205_1	No
K_DeepCast_0m_m1_211	0	205_1	No
K_Offshore_0m_m1_151	0	204_1	No
K_DeepCast_0m_m2_145	0	203_1	No
K_Offshore_0m_m1_193	0	203_1	No
K_Offshore_0m_m1_037	0	201_1	No
K_DeepCast_0m_m1_046	0	201_1	No
K_Offshore_0m_m2_120	0	200_1	No
K_DeepCast_0m_m2_056	0	199_1	No
K_Offshore_0m_mx_109	0	199_1	No
K_DeepCast_0m_m2_122	0	198_1	No
K_Offshore_0m_m2_089	0	198_1	No
K_Offshore_0m_m2_173	0	197_1	No
K_DeepCast_0m_m1_217	0	197_1	No
K_Offshore_0m_m2_135	0	196_1	No
K_DeepCast_0m_m2_128	0	196_1	No
K_DeepCast_0m_m2_135	0	195_1	No
K_Offshore_0m_m2_014	0	195_1	No
K_Offshore_0m_m2_067	0	194_1	No
K_DeepCast_0m_m2_085	0	194_1	No
K_DeepCast_0m_m1_227	0	193_1	Representative sequence
K_Offshore_0m_m2_154	0	193_1	No
K_DeepCast_0m_m1_207	0	190_1	No
K_DeepCast_0m_m1_248	0	187_1	No
K_Offshore_0m_m1_131	0	184_1	No
K_DeepCast_0m_m1_194	0	184_1	No
K_DeepCast_0m_m2_079	0	181_1	No
K_Offshore_0m_m1_125	0	181_1	No
K_Offshore_0m_m2_119	0	177_1	No
K_DeepCast_0m_m1_239	0	177_1	No
K_DeepCast_0m_m2_197	0	175_1	No
K_Offshore_0m_m2_035	0	175_1	No
K_Offshore_0m_m1_196	0	173_1	No
K_DeepCast_0m_m2_008	0	173_1	No
K_Offshore_0m_m2_186	0	171_1	No
K_DeepCast_0m_m2_213	0	171_1	No
K_DeepCast_0m_m2_137	0	170_1	No
K_Offshore_0m_m2_182	0	170_1	No
K_DeepCast_0m_m1_206	0	169_1	No
K_Offshore_0m_m2_004	0	169_1	No
K_DeepCast_0m_m2_050	0	168_1	No
K_Offshore_0m_mx_071	0	168_1	No
K_DeepCast_0m_m1_196	0	161_1	No
K_Offshore_0m_mx_007	0	161_1	No
K_Offshore_0m_mx_055	0	160_3	No
K_Offshore_0m_mx_098	0	159_3	No
K_Offshore_0m_mx_093	0	158_1	No
K_Offshore_0m_m1_130	0	156_1	No
K_Offshore_0m_m2_157	0	155_1	No
K_DeepCast_0m_mx_208	0	155_1	No
K_DeepCast_0m_m1_186	0	153_1	No
K_Offshore_0m_mx_064	0	153_1	No
K_Offshore_0m_m2_001	0	150_1	No
K_DeepCast_0m_m1_055	0	150_1	No
K_DeepCast_0m_mx_086	0	144_1	No
K_Offshore_0m_m1_031	0	138_1	No
K_DeepCast_0m_mx_142	0	139_0	No
K_Offshore_0m_mx_083	0	137_1	No
K_Offshore_0m_m1_005	0	134_1	No
K_Offshore_0m_m1_155	0	130_1	No
K_Offshore_0m_m2_077	0	130_3	No
K_DeepCast_0m_m2_077	0	126_1	No
K_DeepCast_0m_m1_010	0	125_1	No
K_DeepCast_0m_m2_176	0	124_1	No
K_DeepCast_0m_mx_123	0	86_1	No
K_Offshore_0m_m1_199	0	86_1	No
K_DeepCast_0m_m2_147	0	6_1	No
K_Offshore_surface_m2_174	0	1_1	No
M_surface_6_m1_001	6	572_1	No
M_surface_7_m1_001	7	514_1	Representative sequence
M_surface_8_mx_001	8	470_1	No
M_surface_9_m2_001	9	304_1	No
M_surface_8_m2_002	8	439_1	No
M_surface_6_mx_002	6	276_1	No
K_Offshore_surface_m2_002	0	269_2	No
K_Offshore_surface_m1_002	0	171_1	No
M_surface_8_m1_003	8	496_1	No
M_surface_7_m2_003	7	161_1	No
M_surface_10_m1_004	10	514_1	No
M_surface_7_m1_004	7	513_1	No
M_surface_9_m1_004	9	493_1	No
K_Offshore_surface_m1_004	0	404_1	No
M_surface_10_m2_004	10	304_1	No
K_Offshore_surface_m2_004	0	284_11	No
K_Offshore_surface_m2_005	0	577_2	Representative sequence
M_surface_6_mx_005	6	556_17	No
M_surface_7_m1_005	7	553_1	No
M_surface_8_m1_005	8	512_1	No
K_Offshore_surface_m1_005	0	232_1	No
M_surface_8_m2_006	8	356_1	No
M_surface_9_m1_006	9	199_1	No
M_surface_10_m2_006	10	196_1	No
M_surface_9_m2_006	9	161_1	No
M_surface_10_m1_007	10	513_1	No
M_surface_7_m2_008	7	551_1	No
M_surface_6_m1_008	6	501_3	No
M_surface_8_m1_008	8	492_1	No
M_surface_10_m1_008	10	470_1	No
M_surface_9_m1_008	9	322_1	No
